,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
0,David Raya,es ESP,GK,28,13,13,1170,13.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0
1,Declan Rice,eng ENG,MF,25,13,12,1002,11.1,4,2,6,4,0,0,3,0,1.8,1.8,1.2,3.0,23,62,27
2,William Saliba,fr FRA,DF,23,11,11,990,11.0,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,4,32,1
3,Gabriel Martinelli,br BRA,"FW,MF",23,13,11,934,10.4,2,1,3,2,0,0,2,0,4.2,4.2,2.1,6.2,44,15,84
4,Thomas Partey,gh GHA,"MF,DF",31,12,11,897,10.0,0,0,0,0,0,0,3,0,0.6,0.6,0.6,1.2,13,37,15
5,Jurriën Timber,nl NED,DF,23,13,10,848,9.4,1,1,2,1,0,0,2,0,0.6,0.6,1.4,2.0,13,47,18
6,Mikel Merino,es ESP,"MF,FW",28,12,9,817,9.1,2,3,5,2,0,0,1,0,1.1,1.0,1.3,2.3,5,33,29
7,Gabriel Magalhães,br BRA,DF,26,9,9,803,8.9,1,0,1,1,0,0,1,0,1.3,1.3,0.0,1.3,3,36,0
8,Martin Ødegaard,no NOR,MF,25,11,9,797,8.9,3,1,4,3,0,0,0,0,1.9,1.9,1.5,3.4,31,58,39
9,Bukayo Saka,eng ENG,"FW,MF",22,9,9,760,8.4,6,2,8,5,1,2,2,0,4.4,2.9,3.3,6.1,43,18,86
10,Jakub Kiwior,pl POL,DF,24,10,8,772,8.6,0,0,0,0,0,0,1,0,0.1,0.1,0.8,0.9,2,22,1
11,Myles Lewis-Skelly,eng ENG,DF,17,10,7,565,6.3,0,1,1,0,0,0,2,0,0.1,0.1,0.6,0.7,7,24,7
12,Leandro Trossard,be BEL,FW,29,14,6,668,7.4,2,2,4,2,0,1,1,0,2.7,1.9,0.7,2.6,18,32,45
13,Kai Havertz,de GER,"FW,MF",25,8,6,561,6.2,4,1,5,4,0,0,0,0,2.6,2.6,1.1,3.7,4,19,44
14,Riccardo Calafiori,it ITA,DF,22,8,4,431,4.8,1,1,2,1,0,0,2,0,0.7,0.7,1.0,1.7,8,13,10
15,Ben White,eng ENG,DF,26,9,4,335,3.7,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,5,29,12
16,Jorginho,it ITA,MF,32,6,3,324,3.6,1,0,1,0,1,1,0,0,0.8,0.0,0.2,0.2,1,17,5
17,Raheem Sterling,eng ENG,FW,29,6,3,298,3.3,0,2,2,0,0,1,3,0,1.5,0.7,0.8,1.6,12,5,28
18,Gabriel Jesus,br BRA,"FW,MF",27,5,3,258,2.9,0,1,1,0,0,0,1,0,1.4,1.4,0.4,1.8,6,5,36
19,Ethan Nwaneri,eng ENG,"FW,MF",17,7,2,224,2.5,2,0,2,2,0,0,0,0,0.8,0.8,0.4,1.2,10,6,16
20,Oleksandr Zinchenko,ua UKR,"DF,MF",27,6,2,194,2.2,1,0,1,1,0,0,0,0,0.2,0.2,0.6,0.9,1,17,13
21,Kieran Tierney,sct SCO,"FW,DF",27,5,1,121,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,7,7
22,Neto,br BRA,GK,35,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
23,Nathan Butler-Oyedeji,eng ENG,FW,21,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
24,Jimi Gower,eng ENG,MF,19,0,0,,,,,,,,,,,,,,,,,
25,Ayden Heaven,eng ENG,DF,17,0,0,,,,,,,,,,,,,,,,,
26,Jack Henry-Francis,ie IRL,MF,20,0,0,,,,,,,,,,,,,,,,,
27,Ismeal Kabia,eng ENG,MF,18,0,0,,,,,,,,,,,,,,,,,
28,Maldini Kacurri,al ALB,DF,18,0,0,,,,,,,,,,,,,,,,,
29,Zane Monlouis,eng ENG,DF,20,0,0,,,,,,,,,,,,,,,,,
30,Salah Oulad M'Hand,nl NED,MF,20,0,0,,,,,,,,,,,,,,,,,
31,Jack Porter,eng ENG,GK,16,0,0,,,,,,,,,,,,,,,,,
32,Josh Robinson,eng ENG,DF,19,0,0,,,,,,,,,,,,,,,,,
33,Michal Rosiak,pl POL,MF,18,0,0,,,,,,,,,,,,,,,,,
34,Tommy Setford,eng ENG,GK,18,0,0,,,,,,,,,,,,,,,,,
