,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
0,Emiliano Martínez,ar ARG,GK,31,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0
1,Youri Tielemans,be BEL,MF,27,12,12,1041,11.6,2,3,5,2,0,0,1,0,0.8,0.8,1.9,2.7,8,69,19
2,Morgan Rogers,eng ENG,"MF,FW",22,12,12,1022,11.4,4,2,6,4,0,0,1,0,3.1,3.1,2.5,5.6,33,42,64
3,Ezri Konsa,eng ENG,DF,26,11,11,990,11.0,1,0,1,1,0,0,1,0,0.8,0.8,0.2,1.0,3,19,9
4,Lucas Digne,fr FRA,DF,31,9,9,743,8.3,0,0,0,0,0,0,2,0,0.4,0.4,0.7,1.0,12,24,46
5,John McGinn,sct SCO,"MF,FW",29,10,9,734,8.2,3,2,5,3,0,0,1,0,1.6,1.6,0.5,2.2,8,33,23
6,Ollie Watkins,eng ENG,FW,28,12,9,695,7.7,1,4,5,1,0,1,0,0,3.2,2.4,2.6,5.0,11,9,52
7,Boubacar Kamara,fr FRA,"MF,DF",24,10,8,702,7.8,0,0,0,0,0,0,2,0,0.1,0.1,0.5,0.6,7,34,1
8,Pau Torres,es ESP,DF,27,9,7,680,7.6,0,2,2,0,0,0,1,0,0.6,0.6,0.0,0.6,7,23,1
9,Matty Cash,pl POL,"DF,FW",26,8,7,513,5.7,0,0,0,0,0,0,1,0,0.8,0.8,0.2,1.1,9,14,19
10,Leon Bailey,jm JAM,FW,26,8,6,526,5.8,1,1,2,1,0,0,1,0,0.7,0.7,2.0,2.7,22,13,39
11,Diego Carlos,br BRA,DF,31,6,5,484,5.4,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,1,21,0
12,Jacob Ramsey,eng ENG,FW,23,10,4,396,4.4,1,2,3,1,0,0,0,0,1.4,1.4,1.5,2.9,15,18,25
13,Tyrone Mings,eng ENG,DF,31,4,4,310,3.4,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,3,20,1
14,Marcus Rashford,eng ENG,FW,26,4,4,307,3.4,0,2,2,0,0,0,0,0,0.5,0.5,1.2,1.8,11,2,28
15,Amadou Onana,be BEL,MF,22,5,4,271,3.0,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.3,1,7,2
16,Ian Maatsen,nl NED,"DF,FW",22,10,3,380,4.2,1,0,1,1,0,0,1,0,0.6,0.6,0.2,0.9,9,18,26
17,Lamare Bogarde,nl NED,"DF,MF",20,4,2,141,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0
18,Jáder Durán,co COL,FW,20,7,1,241,2.7,3,0,3,3,0,0,2,0,0.9,0.9,0.2,1.0,3,5,16
19,Axel Disasi,fr FRA,DF,26,3,1,126,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,4,2
20,Jaden Philogene Bidace,eng ENG,FW,22,3,1,121,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,0,5
21,Emi Buendía,ar ARG,"FW,MF",27,4,1,114,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,6,10
22,Marco Asensio,es ESP,MF,28,4,0,129,1.4,3,0,3,2,1,1,0,0,3.0,2.2,0.1,2.3,3,5,4
23,Ross Barkley,eng ENG,MF,30,6,0,103,1.1,1,0,1,1,0,0,1,0,0.0,0.0,0.0,0.1,0,6,0
24,Kosta Nedeljković,rs SRB,"FW,DF",18,2,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2
25,Joe Gauci,au AUS,GK,24,0,0,,,,,,,,,,,,,,,,,
26,Robin Olsen,se SWE,GK,34,0,0,,,,,,,,,,,,,,,,,
27,Travis Patterson,eng ENG,DF,18,0,0,,,,,,,,,,,,,,,,,
28,Sam Proctor,eng ENG,GK,17,0,0,,,,,,,,,,,,,,,,,
29,Sil Swinkels,nl NED,DF,20,0,0,,,,,,,,,,,,,,,,,
30,Kadan Young,eng ENG,MF,18,0,0,,,,,,,,,,,,,,,,,
31,Oliwier Zych,pl POL,GK,20,0,0,,,,,,,,,,,,,,,,,
