,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
0,Marten de Roon,nl NED,MF,33,10,10,873,9.7,0,1,1,0,0,0,2,0,0.1,0.1,0.9,1.0,10,74,7
1,Marco Carnesecchi,it ITA,GK,24,9,9,810,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
2,Sead Kolašinac,ba BIH,DF,31,9,9,633,7.0,1,1,2,1,0,0,2,0,1.1,1.1,0.6,1.7,17,53,13
3,Éderson,br BRA,MF,25,9,8,739,8.2,1,0,1,1,0,0,4,0,0.4,0.4,0.6,1.0,12,62,21
4,Isak Hien,se SWE,DF,25,8,8,709,7.9,0,1,1,0,0,0,2,0,0.7,0.7,0.3,1.0,5,19,3
5,Charles De Ketelaere,be BEL,"FW,MF",23,10,8,699,7.8,4,5,9,3,1,1,0,0,2.7,1.9,5.0,6.8,37,30,75
6,Davide Zappacosta,it ITA,DF,32,9,8,697,7.7,0,5,5,0,0,0,0,0,1.1,1.1,3.3,4.4,42,43,90
7,Berat Djimsiti,al ALB,DF,31,9,8,678,7.5,1,0,1,1,0,0,1,0,1.1,1.1,0.2,1.3,8,48,7
8,Mario Pašalić,hr CRO,MF,29,10,8,603,6.7,3,1,4,3,0,0,1,0,3.8,3.8,0.4,4.2,15,35,23
9,Mateo Retegui,it ITA,FW,25,10,8,569,6.3,3,0,3,3,0,1,0,0,4.7,3.8,0.5,4.3,17,12,50
10,Raoul Bellanova,it ITA,DF,24,8,6,463,5.1,1,0,1,1,0,0,1,0,0.5,0.5,0.4,0.8,23,16,34
11,Ademola Lookman,ng NGA,"FW,MF",26,7,5,479,5.3,5,1,6,5,0,1,0,0,5.2,4.4,2.8,7.2,31,22,74
12,Matteo Ruggeri,it ITA,DF,22,6,3,297,3.3,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.7,16,21,21
13,Juan Cuadrado,co COL,DF,36,8,2,320,3.6,0,1,1,0,0,0,1,0,0.4,0.4,2.2,2.6,14,22,25
14,Lazar Samardzic,rs SRB,MF,22,8,2,293,3.3,1,1,2,1,0,0,1,0,1.2,1.2,1.6,2.8,16,23,30
15,Odilon Kossounou,ci CIV,DF,23,4,2,267,3.0,0,2,2,0,0,0,1,0,0.2,0.2,0.3,0.5,2,12,2
16,Rafael Tolói,it ITA,DF,33,4,2,212,2.4,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,2,11,1
17,Marco Brescianini,it ITA,"MF,FW",24,6,1,127,1.4,1,0,1,1,0,0,1,0,0.9,0.9,0.0,1.0,5,2,19
18,Rui Patrício,pt POR,GK,36,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
19,Stefan Posch,at AUT,DF,27,2,1,84,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,5,4
20,Marco Palestra,it ITA,"DF,MF",19,3,1,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,1
21,Nicolò Zaniolo,it ITA,"FW,MF",25,7,0,133,1.5,1,0,1,1,0,0,1,0,1.0,1.0,0.1,1.1,4,3,14
22,Giorgio Scalvini,it ITA,DF,20,1,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1
23,Ben Godfrey,eng ENG,DF,26,2,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
24,Federico Cassa,it ITA,MF,18,0,0,,,,,,,,,,,,,,,,,
25,Pietro Comi,it ITA,DF,19,0,0,,,,,,,,,,,,,,,,,
26,Tommaso Del Lungo,it ITA,DF,20,0,0,,,,,,,,,,,,,,,,,
27,Alberto Manzoni,it ITA,MF,19,0,0,,,,,,,,,,,,,,,,,
28,Francesco Rossi,it ITA,GK,33,0,0,,,,,,,,,,,,,,,,,
29,Ibrahim Sulemana,gh GHA,MF,21,0,0,,,,,,,,,,,,,,,,,
30,Vanja Vlahović,rs SRB,MF,20,0,0,,,,,,,,,,,,,,,,,
