,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
0,Jan Oblak,si SVN,GK,31.0,10,10,930.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Julián Álvarez,ar ARG,"FW,MF",24.0,10,10,784.0,8.7,7.0,1.0,8.0,7.0,0.0,0.0,0.0,0.0,2.4,2.4,1.6,4.0,23.0,25.0,54.0
2,Rodrigo De Paul,ar ARG,MF,30.0,10,10,743.0,8.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,1.1,1.4,26.0,74.0,31.0
3,Antoine Griezmann,fr FRA,"FW,MF",33.0,10,9,728.0,8.1,6.0,2.0,8.0,6.0,0.0,0.0,0.0,0.0,3.9,3.9,1.6,5.6,18.0,37.0,59.0
4,José María Giménez,uy URU,DF,29.0,8,8,750.0,8.3,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.4,0.4,0.0,0.4,3.0,26.0,1.0
5,Marcos Llorente,es ESP,"DF,MF",29.0,8,8,692.0,7.7,2.0,4.0,6.0,2.0,0.0,0.0,1.0,0.0,0.4,0.4,2.3,2.7,19.0,33.0,51.0
6,Clément Lenglet,fr FRA,DF,29.0,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.0,0.3,1.0,19.0,1.0
7,Giuliano Simeone,ar ARG,"MF,DF",21.0,9,7,567.0,6.3,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.7,0.7,1.4,2.1,18.0,16.0,44.0
8,Javi Galán,es ESP,DF,29.0,6,6,450.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,13.0,19.0,30.0
9,Pablo Barrios,es ESP,MF,21.0,6,6,431.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,0.2,0.3,3.0,32.0,1.0
10,Conor Gallagher,eng ENG,MF,24.0,9,4,469.0,5.2,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,0.2,0.8,3.0,13.0,15.0
11,Samuel Lino,br BRA,"MF,DF",24.0,10,4,412.0,4.6,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,1.3,2.4,28.0,19.0,42.0
12,Koke,es ESP,MF,32.0,7,4,403.0,4.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,3.0,33.0,4.0
13,Nahuel Molina,ar ARG,DF,26.0,8,3,429.0,4.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,8.0,12.0,19.0
14,Reinildo Mandava,mz MOZ,DF,30.0,6,3,367.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0,9.0
15,Axel Witsel,be BEL,DF,35.0,4,3,271.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
16,Alexander Sørloth,no NOR,FW,28.0,8,2,293.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.1,0.1,2.3,5.0,9.0,20.0
17,Ángel Correa,ar ARG,"MF,FW",29.0,8,2,269.0,3.0,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,1.6,1.6,0.8,2.5,14.0,9.0,14.0
18,Robin Le Normand,es ESP,DF,27.0,5,2,231.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0
19,Rodrigo Riquelme,es ESP,"MF,DF",24.0,5,1,147.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,11.0,8.0,22.0
20,César Azpilicueta,es ESP,DF,34.0,2,1,113.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,1.0,4.0,1.0
21,Javier Serrano,es ESP,MF,21.0,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
22,Thomas Lemar,fr FRA,FW,28.0,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0
23,Rayane Belaid,es ESP,DF,19.0,0,0,,,,,,,,,,,,,,,,,
24,Aitor Gismera,es ESP,MF,20.0,0,0,,,,,,,,,,,,,,,,,
25,Antonio Gomis,es ESP,GK,21.0,0,0,,,,,,,,,,,,,,,,,
26,Ilias Kostis,gr GRE,DF,21.0,0,0,,,,,,,,,,,,,,,,,
27,Juan Musso,ar ARG,GK,30.0,0,0,,,,,,,,,,,,,,,,,
28,Gerónimo Spina,ar ARG,DF,19.0,0,0,,,,,,,,,,,,,,,,,
