,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
0,Raphinha,br BRA,"FW,MF",27,14,14,1222,13.6,13,8,21,13,0,0,0,0,5.9,5.9,7.4,13.2,46,58,145
1,Pedri,es ESP,MF,21,14,13,1109,12.3,0,2,2,0,0,0,0,0,0.4,0.4,2.1,2.5,31,114,42
2,Jules Koundé,fr FRA,DF,25,13,13,1104,12.3,0,3,3,0,0,0,1,0,0.6,0.6,2.2,2.8,21,47,66
3,Lamine Yamal,es ESP,FW,17,13,13,1094,12.2,5,3,8,5,0,0,0,0,4.2,4.2,2.1,6.3,74,62,152
4,Pau Cubarsí,es ESP,DF,17,13,12,977,10.9,0,1,1,0,0,0,2,1,0.2,0.2,1.0,1.2,7,74,2
5,Robert Lewandowski,pl POL,FW,35,13,12,975,10.8,11,0,11,8,3,3,0,0,10.4,8.0,1.5,9.6,10,27,52
6,Iñigo Martínez,es ESP,DF,33,11,11,954,10.6,2,1,3,2,0,0,3,0,0.7,0.7,1.0,1.7,15,80,7
7,Alejandro Balde,es ESP,DF,20,10,9,803,8.9,0,2,2,0,0,0,1,0,0.2,0.2,0.5,0.7,28,24,63
8,Frenkie de Jong,nl NED,MF,27,13,8,804,8.9,0,0,0,0,0,0,2,0,1.0,1.0,0.2,1.1,14,76,16
9,Wojciech Szczęsny,pl POL,GK,34,8,8,750,8.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
10,Marc Casado,es ESP,MF,20,10,7,633,7.0,0,2,2,0,0,0,1,0,0.4,0.4,0.5,0.8,6,47,11
11,Dani Olmo,es ESP,MF,26,9,6,435,4.8,2,1,3,2,0,0,0,0,2.3,2.3,1.0,3.2,12,33,36
12,Iñaki Peña,es ESP,GK,25,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
13,Gerard Martín,es ESP,DF,22,8,5,446,5.0,0,3,3,0,0,0,0,0,0.0,0.0,1.9,1.9,6,18,42
14,Ronald Araújo,uy URU,DF,25,8,4,523,5.8,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.5,0,10,0
15,Fermin López,es ESP,"MF,FW",21,11,4,453,5.0,1,3,4,1,0,0,1,0,1.8,1.8,1.9,3.7,11,15,39
16,Ferrán Torres,es ESP,FW,24,11,3,426,4.7,3,1,4,3,0,0,1,0,3.1,3.1,0.5,3.6,2,8,31
17,Gavi,es ESP,MF,19,10,3,301,3.3,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.4,4,11,15
18,Eric García,es ESP,"DF,MF",23,9,3,276,3.1,2,0,2,2,0,0,0,1,1.1,1.1,0.3,1.3,2,22,6
19,Marc-André ter Stegen,de GER,GK,32,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
20,Pau Victor,es ESP,FW,22,6,0,53,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,0,3,2
21,Héctor Fort,es ESP,DF,17,2,0,50,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,5
22,Ansu Fati,es ESP,"FW,MF",21,4,0,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,4
23,Sergi Dominguez,es ESP,"DF,FW",19,2,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0
24,Pablo Torre,es ESP,"FW,MF",21,2,0,21,0.2,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,2,2
25,Andreas Christensen,dk DEN,DF,28,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0
26,Andres Cuenca,es ESP,DF,17,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
27,Ander Astralaga,es ESP,GK,20,0,0,,,,,,,,,,,,,,,,,
28,Noah Darvich,de GER,MF,17,0,0,,,,,,,,,,,,,,,,,
29,Landry Farré,es ESP,DF,17,0,0,,,,,,,,,,,,,,,,,
30,Guillermo Fernandez,es ESP,MF,16,0,0,,,,,,,,,,,,,,,,,
31,Toni Fernández,es ESP,MF,16,0,0,,,,,,,,,,,,,,,,,
32,Diego Kochen,us USA,GK,18,0,0,,,,,,,,,,,,,,,,,
33,Áron Yaakobishvili,hu HUN,GK,18,0,0,,,,,,,,,,,,,,,,,
