,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
0,Jonathan Tah,de GER,DF,28.0,10,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.3,6.0,30.0,2.0
1,Álex Grimaldo,es ESP,"DF,FW",28.0,10,10,865.0,9.6,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.2,4.1,18.0,44.0,80.0
2,Granit Xhaka,ch SUI,MF,31.0,10,9,818.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,0.7,1.2,10.0,75.0,12.0
3,Jeremie Frimpong,nl NED,"DF,FW",23.0,10,9,793.0,8.8,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,1.2,1.2,2.5,3.6,42.0,14.0,81.0
4,Piero Hincapié,ec ECU,DF,22.0,9,9,772.0,8.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.4,0.4,0.4,0.7,11.0,32.0,18.0
5,Florian Wirtz,de GER,"MF,FW",21.0,9,9,759.0,8.4,6.0,1.0,7.0,5.0,1.0,1.0,2.0,0.0,3.6,2.8,2.2,5.1,28.0,53.0,74.0
6,Exequiel Palacios,ar ARG,MF,25.0,10,8,662.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.5,1.1,8.0,53.0,22.0
7,Edmond Tapsoba,bf BFA,DF,25.0,9,7,671.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,7.0,40.0,1.0
8,Matej Kovar,cz CZE,GK,24.0,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Nordi Mukiele,fr FRA,DF,26.0,5,5,358.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.4,0.4,0.1,0.5,13.0,20.0,14.0
10,Patrik Schick,cz CZE,FW,28.0,8,4,408.0,4.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.1,2.1,0.2,2.4,6.0,3.0,23.0
11,Aleix García,es ESP,MF,27.0,10,4,364.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.9,0.9,0.2,1.1,0.0,17.0,5.0
12,Lukáš Hrádecký,fi FIN,GK,34.0,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Nathan Tella,ng NGA,"FW,MF",25.0,7,4,328.0,3.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.2,1.2,0.5,1.7,13.0,8.0,34.0
14,Victor Boniface,ng NGA,FW,23.0,4,3,240.0,2.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.8,1.8,0.1,1.9,11.0,6.0,17.0
15,Robert Andrich,de GER,"MF,DF",29.0,7,2,276.0,3.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.6,0.7,2.0,8.0,3.0
16,Amine Adli,ma MAR,"MF,FW",24.0,5,2,210.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.3,4.0,9.0,16.0
17,Mario Hermoso,es ESP,DF,29.0,2,2,127.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18,Jonas Hofmann,de GER,"MF,FW",32.0,4,1,132.0,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,1.0,10.0,10.0
19,Arthur,br BRA,"DF,MF",21.0,5,1,110.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,1.0,2.0,9.0
20,Martin Terrier,fr FRA,MF,27.0,4,1,105.0,1.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,2.0,1.0,3.0
21,Artem Stepanov,ua UKR,FW,16.0,2,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
22,Francis Onyeka,de GER,FW,17.0,1,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
23,Jeanuël Belocian,fr FRA,DF,19.0,2,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
24,Emi Buendía,ar ARG,MF,27.0,2,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
25,Kerim Alajbegović,ba BIH,FW,16.0,0,0,,,,,,,,,,,,,,,,,
26,Ben Hawighorst,de GER,DF,16.0,0,0,,,,,,,,,,,,,,,,,
27,Niklas Lomb,de GER,GK,31.0,0,0,,,,,,,,,,,,,,,,,
