,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
0,Joshua Kimmich,de GER,"MF,DF",29,14,14,1260,14.0,0,4,4,0,0,0,1,0,0.9,0.9,3.9,4.8,28,138,48
1,Harry Kane,eng ENG,FW,31,13,13,1119,12.4,11,2,13,7,4,4,1,0,10.3,7.5,1.6,9.1,13,34,63
2,Kim Min-jae,kr KOR,DF,27,13,13,1066,11.8,1,0,1,1,0,0,2,0,0.6,0.6,0.2,0.7,7,59,2
3,Michael Olise,fr FRA,"FW,MF",22,14,13,1027,11.4,5,2,7,4,1,1,1,0,5.1,4.3,3.1,7.5,52,99,155
4,Dayot Upamecano,fr FRA,DF,25,11,11,990,11.0,0,0,0,0,0,0,1,0,0.9,0.9,0.4,1.3,8,64,1
5,Manuel Neuer,de GER,GK,38,10,10,822,9.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,0
6,Konrad Laimer,at AUT,DF,27,11,10,779,8.7,1,1,2,1,0,0,2,0,0.4,0.4,1.5,1.9,33,64,48
7,Jamal Musiala,de GER,MF,21,12,9,864,9.6,3,3,6,3,0,0,1,0,3.8,3.8,4.0,7.8,48,55,71
8,Leon Goretzka,de GER,MF,29,12,9,839,9.3,1,1,2,1,0,0,4,0,1.5,1.5,0.8,2.4,23,63,10
9,Alphonso Davies,ca CAN,DF,23,9,8,701,7.8,2,0,2,2,0,0,0,0,1.7,1.7,0.7,2.4,36,51,41
10,Leroy Sané,de GER,"FW,MF",28,13,6,635,7.1,1,0,1,1,0,0,2,0,1.8,1.8,0.6,2.4,27,32,117
11,Raphaël Guerreiro,pt POR,"DF,MF",30,9,6,520,5.8,1,0,1,1,0,0,0,0,0.3,0.3,0.7,1.1,15,34,47
12,Serge Gnabry,de GER,FW,29,12,5,552,6.1,0,2,2,0,0,0,2,0,1.8,1.8,1.5,3.3,22,25,87
13,Kingsley Coman,fr FRA,FW,28,11,5,458,5.1,1,0,1,1,0,0,2,0,1.2,1.2,0.7,1.9,22,17,75
14,Josip Stanišić,hr CRO,DF,24,6,4,421,4.7,0,0,0,0,0,0,0,0,0.6,0.6,0.4,1.0,15,35,23
15,Thomas Müller,de GER,"MF,FW",34,12,4,371,4.1,3,1,4,3,0,0,1,0,2.2,2.2,1.1,3.2,10,20,45
16,Jonas Urbig,de GER,GK,20,4,3,303,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
17,Eric Dier,eng ENG,DF,30,6,3,297,3.3,1,0,1,1,0,0,1,0,0.1,0.1,0.0,0.1,2,14,2
18,Aleksandar Pavlovic,de GER,MF,20,5,3,292,3.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,50,8
19,João Palhinha,pt POR,MF,29,5,2,173,1.9,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.6,1,12,3
20,Sacha Boey,fr FRA,DF,23,3,1,104,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,13,27
21,Mathys Tel,fr FRA,"MF,FW",19,3,1,92,1.0,0,0,0,0,0,0,0,0,0.6,0.6,0.2,0.8,7,5,16
22,Daniel Peretz,il ISR,GK,24,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
23,Sven Ulreich,de GER,GK,35,1,0,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0
24,Hiroki Ito,jp JPN,DF,25,2,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
25,Arijon Ibrahimović,de GER,FW,18,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
26,Adam Aznou,ma MAR,DF,18,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
27,Jonathan Asp Jensen,dk DEN,MF,18,0,0,,,,,,,,,,,,,,,,,
28,Tarek Buchmann,de GER,DF,19,0,0,,,,,,,,,,,,,,,,,
29,Nestory Irankunda,au AUS,MF,18,0,0,,,,,,,,,,,,,,,,,
30,Lennart Karl,de GER,MF,16,0,0,,,,,,,,,,,,,,,,,
31,Leon Klanac,de GER,GK,17,0,0,,,,,,,,,,,,,,,,,
32,Jonah Kusi-Asare,se SWE,FW,17,0,0,,,,,,,,,,,,,,,,,
33,Noel Nkili,de GER,MF,18,0,0,,,,,,,,,,,,,,,,,
34,Max Schmitt,de GER,GK,18,0,0,,,,,,,,,,,,,,,,,
35,Gabriel Vidovic,hr CRO,MF,20,0,0,,,,,,,,,,,,,,,,,
