,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
0,Nicolás Otamendi,ar ARG,DF,36,12,12,1080,12.0,1,0,1,1,0,0,2,0,1.1,1.1,0.1,1.3,5,29,3
1,Anatolii Trubin,ua UKR,GK,22,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
2,Orkun Kökçü,tr TUR,MF,23,12,12,987,11.0,4,0,4,3,1,1,2,0,2.1,1.3,1.4,2.7,23,67,26
3,Fredrik Aursnes,no NOR,MF,28,12,11,989,11.0,0,1,1,0,0,0,2,0,1.3,1.3,1.1,2.4,24,47,36
4,Tomás Araújo,pt POR,DF,22,11,11,924,10.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,7,31,12
5,Vangelis Pavlidis,gr GRE,FW,25,12,11,895,9.9,7,2,9,5,2,2,1,0,7.8,6.3,1.4,7.7,19,18,52
6,Kerem Aktürkoğlu,tr TUR,FW,25,12,11,847,9.4,4,0,4,4,0,0,1,0,3.9,3.9,1.5,5.5,18,14,46
7,Álvaro Carreras,es ESP,DF,21,10,10,900,10.0,0,2,2,0,0,0,5,0,0.4,0.4,1.5,1.9,20,54,56
8,Florentino Luís,pt POR,MF,24,9,9,713,7.9,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,1,9,2
9,António Silva,pt POR,DF,20,9,8,725,8.1,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.4,4,14,0
10,Ángel Di María,ar ARG,"FW,MF",36,9,6,545,6.1,1,2,3,0,1,1,0,0,2.4,1.6,2.6,4.2,28,36,44
11,Alexander Bah,dk DEN,DF,26,7,6,498,5.5,1,1,2,1,0,0,2,0,0.7,0.7,0.9,1.6,12,19,23
12,Andreas Schjelderup,no NOR,FW,20,7,6,402,4.5,0,0,0,0,0,0,0,0,0.6,0.6,0.9,1.4,21,12,29
13,Leandro Barreiro Martins,lu LUX,MF,24,9,2,267,3.0,0,0,0,0,0,0,2,0,0.7,0.7,0.3,1.0,0,7,3
14,Zeki Amdouni,ch SUI,"FW,MF",23,11,1,249,2.8,1,0,1,1,0,0,2,0,1.6,1.6,0.6,2.1,8,5,14
15,Samuel Dahl,se SWE,"DF,FW",24,3,1,157,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.4,5,6,9
16,Renato Sanches,pt POR,MF,26,4,1,146,1.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,10,4
17,Issa Kaboré,bf BFA,DF,23,2,1,99,1.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,2,1
18,Benjamín Rollheiser,ar ARG,"MF,FW",24,6,1,93,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,5,6,3
19,Jan-Niklas Beste,de GER,"FW,DF",25,5,0,113,1.3,0,1,1,0,0,0,0,0,0.1,0.1,0.6,0.7,2,2,16
20,Arthur Cabral,br BRA,"FW,MF",26,6,0,80,0.9,1,0,1,1,0,0,0,1,0.4,0.4,0.0,0.4,0,0,5
21,Andrea Belotti,it ITA,FW,30,4,0,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,0,0
22,João Rêgo,pt POR,"MF,FW",19,4,0,32,0.4,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,2,3
23,Adrian Bajrami,al ALB,DF,22,0,0,,,,,,,,,,,,,,,,,
24,Nuno Felix,pt POR,MF,20,0,0,,,,,,,,,,,,,,,,,
25,João Fonseca,pt POR,DF,17,0,0,,,,,,,,,,,,,,,,,
26,Tiago Freitas,pt POR,MF,17,0,0,,,,,,,,,,,,,,,,,
27,André Gomes,pt POR,GK,19,0,0,,,,,,,,,,,,,,,,,
28,Gonçalo Oliveira,pt POR,DF,18,0,0,,,,,,,,,,,,,,,,,
29,Tiago Parente,pt POR,DF,18,0,0,,,,,,,,,,,,,,,,,
30,Gianluca Prestianni,ar ARG,MF,18,0,0,,,,,,,,,,,,,,,,,
31,Diogo Prioste,pt POR,MF,20,0,0,,,,,,,,,,,,,,,,,
32,Leandro Santos,pt POR,DF,18,0,0,,,,,,,,,,,,,,,,,
33,Hugo Sequeira,pt POR,MF,20,0,0,,,,,,,,,,,,,,,,,
34,Samuel Soares,pt POR,GK,22,0,0,,,,,,,,,,,,,,,,,
