,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
0,Sam Beukema,nl NED,DF,25.0,8,8,646.0,7.2,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.6,0.9,7.0,33.0,0.0
1,Łukasz Skorupski,pl POL,GK,33.0,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2,Dan Ndoye,ch SUI,"FW,MF",23.0,8,7,616.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.9,2.2,38.0,25.0,39.0
3,Stefan Posch,at AUT,DF,27.0,6,6,531.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.3,0.6,8.0,23.0,23.0
4,Jhon Lucumí,co COL,DF,26.0,7,6,530.0,5.9,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.6,0.6,0.0,0.6,6.0,26.0,2.0
5,Remo Freuler,ch SUI,MF,32.0,7,6,506.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.3,0.3,3.0,26.0,7.0
6,Giovanni Fabbian,it ITA,MF,21.0,7,6,490.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.9,0.9,0.0,0.9,5.0,8.0,15.0
7,Riccardo Orsolini,it ITA,"FW,MF",27.0,6,5,323.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.2,0.7,11.0,17.0,38.0
8,Thijs Dallinga,nl NED,FW,23.0,8,4,412.0,4.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.7,1.7,0.0,1.7,4.0,4.0,16.0
9,Nikola Moro,hr CRO,MF,26.0,7,4,381.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.7,0.8,0.0,16.0,9.0
10,Charalampos Lykogiannis,gr GRE,DF,30.0,5,4,369.0,4.1,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,1.5,1.6,3.0,17.0,13.0
11,Santiago Castro,ar ARG,FW,19.0,7,4,336.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.3,0.6,2.0,2.0,22.0
12,Lewis Ferguson,sct SCO,MF,24.0,5,4,289.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.2,0.7,3.0,10.0,8.0
13,Samuel Iling-Junior,eng ENG,"FW,MF",20.0,8,3,349.0,3.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.1,0.6,17.0,8.0,31.0
14,Juan Miranda,es ESP,DF,24.0,5,3,305.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,3.0,10.0,14.0
15,Emil Holm,se SWE,DF,24.0,4,3,231.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,10.0,5.0,5.0
16,Kacper Urbanski,pl POL,"MF,FW",19.0,4,3,211.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,6.0,10.0,13.0
17,Tommaso Pobega,it ITA,MF,25.0,5,2,249.0,2.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,2.0,9.0,4.0
18,Nicolò Casale,it ITA,DF,26.0,4,2,219.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0
19,Federico Ravaglia,it ITA,GK,24.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Jens Odgaard,dk DEN,"FW,MF",25.0,5,0,130.0,1.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.5,0.7,2.0,6.0,4.0
21,Martin Erlic,hr CRO,DF,26.0,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
22,Michel Aebischer,ch SUI,MF,27.0,1,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
23,Tommaso Corazza,it ITA,DF,20.0,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24,Nicola Bagnolini,it ITA,GK,20.0,0,0,,,,,,,,,,,,,,,,,
25,Tommaso Ravaglioli,it ITA,FW,18.0,0,0,,,,,,,,,,,,,,,,,
