,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
0,Marco Bizot,nl NED,GK,33.0,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Brendan Chardonnet,fr FRA,DF,29.0,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.3,0.0,14.0,0.0
2,Mahdi Camara,fr FRA,MF,26.0,10,9,705.0,7.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.3,1.3,10.0,21.0,25.0
3,Kenny Lala,mg MAD,DF,32.0,8,8,720.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,1.3,1.5,20.0,34.0,28.0
4,Hugo Magnetti,fr FRA,MF,26.0,10,8,696.0,7.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.2,1.0,4.0,22.0,10.0
5,Edimilson Fernandes,ch SUI,MF,28.0,10,8,647.0,7.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,5.0,21.0,5.0
6,Ludovic Ajorque,fr FRA,FW,30.0,8,8,640.0,7.1,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.7,0.7,2.2,2.9,3.0,10.0,35.0
7,Soumaïla Coulibaly,fr FRA,DF,20.0,8,7,636.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,1.0
8,Massadio Haïdara,ml MLI,DF,31.0,8,7,616.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.4,0.5,4.0,23.0,18.0
9,Abdallah Sima,sn SEN,FW,23.0,9,6,508.0,5.6,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,2.5,2.5,0.6,3.1,13.0,5.0,34.0
10,Mama Samba Baldé,gw GNB,"FW,MF",28.0,9,5,451.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.3,1.6,17.0,10.0,29.0
11,Kamory Doumbia,ml MLI,"MF,FW",21.0,10,5,437.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,0.5,2.2,11.0,14.0,17.0
12,Pierre Lees-Melou,fr FRA,MF,31.0,5,4,373.0,4.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.3,0.8,3.0,21.0,4.0
13,Mathias Pereira Lage,pt POR,"DF,MF",27.0,9,3,374.0,4.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,0.6,1.7,10.0,12.0,12.0
14,Romain Del Castillo,fr FRA,FW,28.0,7,3,318.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.9,1.0,15.0,17.0,20.0
15,Romain Faivre,fr FRA,"MF,FW",26.0,8,3,308.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,10.0,10.0,8.0
16,Julien Le Cardinal,fr FRA,DF,26.0,4,3,256.0,2.8,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.6,0.6,0.0,0.6,0.0,3.0,3.0
17,Abdoulaye Niakhate Ndiaye,sn SEN,DF,22.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0
18,Grégoire Coudert,fr FRA,GK,25.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Luck Zogbé,ci CIV,DF,19.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,2.0,2.0,1.0
20,Jordan Amavi,fr FRA,DF,30.0,1,1,83.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0
21,Jonas Martin,fr FRA,MF,34.0,5,0,81.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.8,1.0,6.0,3.0
22,Ibrahim Salah,ma MAR,"FW,MF",22.0,6,0,71.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.3,2.0,5.0,8.0
23,Axel Camblan,fr FRA,FW,20.0,0,0,,,,,,,,,,,,,,,,,
24,Paris Irie,fr FRA,DF,18.0,0,0,,,,,,,,,,,,,,,,,
25,Noah Jauny,ie IRL,GK,19.0,0,0,,,,,,,,,,,,,,,,,
