,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
0,Callum McGregor,sct SCO,MF,31,10,10,900,10.0,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.6,10,45,6
1,Kasper Schmeichel,dk DEN,GK,37,10,10,900,10.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0
2,Alistair Johnston,ca CAN,DF,25,10,10,836,9.3,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.4,15,37,25
3,Nicolas-Gerrit Kühn,de GER,FW,24,10,10,784,8.7,3,1,4,3,0,0,1,0,1.7,1.7,2.8,4.6,28,26,65
4,Auston Trusty,us USA,DF,25,10,9,816,9.1,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,4,35,1
5,Reo Hatate,jp JPN,MF,26,10,9,784,8.7,1,2,3,1,0,0,1,0,1.4,1.4,1.4,2.9,15,38,42
6,Daizen Maeda,jp JPN,FW,26,9,9,758,8.4,4,0,4,4,0,0,1,1,3.0,3.0,0.7,3.7,14,9,60
7,Arne Engels,be BEL,MF,20,10,9,724,8.0,1,3,4,0,1,2,0,0,2.2,0.7,2.0,2.7,10,28,28
8,Greg Taylor,sct SCO,DF,26,8,8,572,6.4,0,1,1,0,0,0,1,0,0.0,0.0,0.4,0.5,8,25,26
9,Cameron Carter-Vickers,us USA,DF,26,7,7,606,6.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,9,32,0
10,Kyogo Furuhashi,jp JPN,FW,29,7,6,462,5.1,1,0,1,1,0,0,0,0,2.5,2.5,0.0,2.5,2,1,14
11,Liam Scales,ie IRL,DF,25,6,4,371,4.1,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,2,15,0
12,Adam Idah,ie IRL,FW,23,10,3,341,3.8,3,0,3,3,0,0,0,0,2.2,2.2,0.1,2.3,6,0,14
13,Paulo Bernardo,pt POR,MF,22,8,2,241,2.7,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,3,15,9
14,Álex Valle,es ESP,DF,20,5,1,212,2.4,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,7,14,8
15,Yang Hyunjun,kr KOR,FW,22,6,1,157,1.7,0,1,1,0,0,0,0,0,0.3,0.3,0.9,1.2,1,4,9
16,Jeffrey Schlupp,gh GHA,DF,31,2,1,116,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2
17,Jota,pt POR,FW,25,2,1,85,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.3,4,3,6
18,Anthony Ralston,sct SCO,DF,25,3,0,64,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,2,0
19,James Forrest,sct SCO,FW,33,4,0,63,0.7,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.4,4,5,13
20,Luke McCowan,sct SCO,MF,26,3,0,51,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,6
21,Luis Enrique Palma,hn HON,FW,24,2,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1
22,Daniel Cummings,sct SCO,FW,18,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
23,Dane Murray,sct SCO,DF,21,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
24,Scott Bain,sct SCO,GK,32,0,0,,,,,,,,,,,,,,,,,
25,Jude Bonnar,sct SCO,FW,19,0,0,,,,,,,,,,,,,,,,,
26,Johnny Kenny,ie IRL,FW,21,0,0,,,,,,,,,,,,,,,,,
27,Adam Montgomery,sct SCO,DF,22,0,0,,,,,,,,,,,,,,,,,
28,Maik Nawrocki,pl POL,DF,23,0,0,,,,,,,,,,,,,,,,,
29,Viljami Sinisalo,fi FIN,GK,22,0,0,,,,,,,,,,,,,,,,,
30,Stephen Welsh,sct SCO,DF,24,0,0,,,,,,,,,,,,,,,,,
