,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
0,Brandon Mechele,be BEL,DF,31.0,12,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.3,2.0,19.0,1.0
1,Simon Mignolet,be BEL,GK,36.0,12,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Hans Vanaken,be BEL,"MF,FW",31.0,12,12,1080.0,12.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.6,0.8,1.3,2.1,10.0,68.0,23.0
3,Maxim De Cuyper,be BEL,DF,23.0,12,12,1079.0,12.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,1.3,2.0,13.0,44.0,54.0
4,Joel Ordóñez,ec ECU,DF,20.0,12,12,1047.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,32.0,1.0
5,Christos Tzolis,gr GRE,"FW,MF",22.0,12,12,932.0,10.4,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,2.1,2.1,2.5,4.7,37.0,36.0,70.0
6,Ardon Jashari,ch SUI,MF,22.0,11,11,949.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.7,0.9,13.0,40.0,14.0
7,Raphael Onyedika,ng NGA,MF,23.0,11,11,938.0,10.4,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.8,0.8,0.3,1.1,1.0,22.0,7.0
8,Ferran Jutglà,es ESP,FW,25.0,12,11,847.0,9.4,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.4,1.4,0.3,1.8,11.0,14.0,53.0
9,Joaquin Seys,be BEL,DF,19.0,10,9,767.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,24.0,23.0
10,Chemsdine Talbi,be BEL,FW,19.0,11,7,548.0,6.1,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.1,1.1,0.5,1.6,11.0,10.0,33.0
11,Andreas Skov Olsen,dk DEN,"FW,MF",24.0,6,5,366.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1,1.1,0.4,1.5,22.0,16.0,31.0
12,Kyriani Sabbe,be BEL,DF,19.0,6,3,238.0,2.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.1,0.1,0.1,0.2,4.0,6.0,10.0
13,Hugo Vetlesen,no NOR,"MF,FW",24.0,7,1,184.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,0.1,0.9,1.0,5.0,8.0
14,Gustaf Nilsson,se SWE,FW,27.0,7,1,177.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.3,0.5,0.0,0.5,0.0,4.0,5.0
15,Casper Nielsen,dk DEN,"MF,FW",30.0,6,1,143.0,1.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.0,0.4,1.0,3.0,3.0
16,Michał Skóraś,pl POL,"MF,DF",24.0,5,0,121.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.3,0.3,2.0,7.0,6.0
17,Hugo Siquet,be BEL,"DF,FW",22.0,4,0,73.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
18,Romeo Vermant,be BEL,"FW,MF",20.0,5,0,56.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,4.0
19,Zaid Romero,ar ARG,DF,24.0,1,0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Bjorn Meijer,nl NED,"DF,FW",21.0,2,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Shandre Campbell,za RSA,MF,19.0,0,0,,,,,,,,,,,,,,,,,
22,Dani van den Heuvel,nl NED,GK,21.0,0,0,,,,,,,,,,,,,,,,,
23,Nordin Jackers,be BEL,GK,26.0,0,0,,,,,,,,,,,,,,,,,
24,Jorne Spileers,be BEL,DF,19.0,0,0,,,,,,,,,,,,,,,,,
