,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
0,Martin Baturina,hr CRO,"MF,FW",21,8,8,619,6.9,2,1,3,2,0,0,2,0,0.8,0.8,1.4,2.2,32,35,21
1,Stefan Ristovski,mk MKD,DF,32,8,7,651,7.2,0,2,2,0,0,0,2,0,0.0,0.0,0.8,0.8,6,19,28
2,Kévin Théophile-Catherine,fr FRA,DF,34,7,7,630,7.0,0,1,1,0,0,0,0,0,0.1,0.1,0.0,0.2,1,5,1
3,Raúl Torrente,es ESP,DF,22,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,4,0
4,Ronaël Pierre-Gabriel,fr FRA,DF,26,8,6,534,5.9,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.5,14,19,21
5,Sandro Kulenović,hr CRO,FW,24,7,5,496,5.5,3,0,3,3,0,0,2,0,1.8,1.8,0.0,1.8,2,1,16
6,Josip Mišić,hr CRO,MF,30,6,5,482,5.4,0,1,1,0,0,0,1,0,0.1,0.1,0.7,0.8,4,21,1
7,Maxime Bernauer,fr FRA,DF,26,6,5,466,5.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,12,2
8,Ivan Nevistić,hr CRO,GK,26,5,5,450,5.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0
9,Marko Rog,hr CRO,MF,29,7,4,364,4.0,0,1,1,0,0,0,2,0,0.1,0.1,0.1,0.3,4,6,2
10,Marko Pjaca,hr CRO,"FW,MF",29,6,4,341,3.8,1,3,4,1,0,0,1,0,0.5,0.5,0.8,1.3,13,12,16
11,Arijan Ademi,mk MKD,MF,33,6,4,287,3.2,0,0,0,0,0,0,2,0,0.6,0.6,0.3,0.9,3,9,6
12,Samy Mmaee,ma MAR,DF,27,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,0
13,Danijel Zagorac,hr CRO,GK,37,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
14,Luka Stojkovic,hr CRO,"MF,FW",20,6,3,264,2.9,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.6,11,7,7
15,Petar Sucic,hr CRO,MF,20,3,3,263,2.9,2,0,2,2,0,0,0,0,1.3,1.3,0.1,1.4,9,11,15
16,Takuya Ogiwara,jp JPN,DF,24,3,3,223,2.5,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.5,5,1,12
17,Lukas Kačavenda,hr CRO,"MF,FW",21,6,2,217,2.4,0,0,0,0,0,0,3,0,0.0,0.0,0.2,0.2,6,5,7
18,Bruno Petković,hr CRO,FW,29,3,2,193,2.1,2,0,2,2,0,0,1,0,0.6,0.6,0.0,0.6,1,5,8
19,Dario Špikić,hr CRO,"FW,MF",25,5,2,186,2.1,1,0,1,1,0,0,0,0,0.1,0.1,0.1,0.2,5,5,11
20,Branko Pavić,hr CRO,MF,17,1,1,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
21,Arbër Hoxha,al ALB,"DF,MF",25,5,0,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,6
22,Nathanael Mbuku,cd COD,"FW,MF",22,2,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,3
23,Juan Córdoba,co COL,"FW,MF",21,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
24,Leon Jakirovic,hr CRO,DF,16,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
25,Tomas Baković,hr CRO,MF,18,0,0,,,,,,,,,,,,,,,,,
26,Mislav Čutuk,hr CRO,FW,17,0,0,,,,,,,,,,,,,,,,,
27,Ivan Filipović,hr CRO,GK,29,0,0,,,,,,,,,,,,,,,,,
28,Noa Mikić,hr CRO,DF,17,0,0,,,,,,,,,,,,,,,,,
29,Marko Zebić,hr CRO,DF,17,0,0,,,,,,,,,,,,,,,,,
