,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
0,Gregor Kobel,ch SUI,GK,26,13,13,1170,13.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
1,Serhou Guirassy,gn GUI,FW,28,14,12,1083,12.0,13,4,17,8,5,6,2,0,12.3,7.5,2.5,10.0,13,26,56
2,Nico Schlotterbeck,de GER,DF,24,12,12,1080,12.0,0,1,1,0,0,0,0,0,0.5,0.5,0.4,0.9,17,89,5
3,Julian Ryerson,no NOR,DF,26,12,11,955,10.6,0,0,0,0,0,0,2,0,0.3,0.3,1.9,2.1,19,29,38
4,Julian Brandt,de GER,MF,28,13,11,877,9.7,0,5,5,0,0,0,0,0,0.7,0.7,1.5,2.2,26,54,64
5,Jamie Gittens,eng ENG,"FW,MF",19,14,11,845,9.4,4,0,4,4,0,0,0,0,1.7,1.7,1.0,2.7,48,20,88
6,Emre Can,de GER,"DF,MF",30,12,10,942,10.5,2,1,3,0,2,2,1,0,1.8,0.2,0.1,0.2,6,26,6
7,Pascal Groß,de GER,"MF,DF",33,13,10,914,10.2,1,2,3,1,0,0,3,0,1.8,1.8,3.2,5.0,13,59,46
8,Marcel Sabitzer,at AUT,MF,30,11,10,842,9.4,0,0,0,0,0,0,2,0,1.3,1.3,0.8,2.1,6,39,31
9,Karim Adeyemi,de GER,"FW,MF",22,10,9,685,7.6,5,1,6,5,0,0,2,0,2.0,2.0,1.6,3.6,34,13,63
10,Ramy Bensebaini,dz ALG,DF,29,12,8,745,8.3,2,1,3,2,0,0,4,0,1.3,1.3,1.2,2.5,16,54,24
11,Felix Nmecha,de GER,MF,23,9,7,618,6.9,1,1,2,1,0,0,2,0,0.3,0.3,0.3,0.6,8,32,2
12,Maximilian Beier,de GER,"FW,MF",21,12,6,616,6.8,1,0,1,1,0,0,2,0,1.2,1.2,0.4,1.6,7,10,32
13,Waldemar Anton,de GER,DF,28,10,6,593,6.6,0,0,0,0,0,0,1,0,0.0,0.0,0.5,0.5,3,27,1
14,Daniel Svensson,se SWE,DF,22,4,4,351,3.9,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,7,16,12
15,Niklas Süle,de GER,DF,28,5,3,283,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,20,0
16,Donyell Malen,nl NED,FW,25,5,3,237,2.6,2,1,3,2,0,0,1,0,1.6,1.6,0.9,2.5,5,3,24
17,Julien Duranville,be BEL,"FW,MF",18,9,2,301,3.3,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,16,9,30
18,Gio Reyna,us USA,"MF,FW",21,9,2,278,3.1,0,1,1,0,0,0,0,0,0.8,0.8,0.7,1.5,2,15,9
19,Yan Couto,br BRA,DF,22,8,2,231,2.6,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,8,12,19
20,Alexander Meyer,de GER,GK,33,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
21,Carney Chukwuemeka,eng ENG,"MF,FW",20,3,1,78,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.7,3,6,4
22,Salih Özcan,tr TUR,MF,26,3,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1
23,Cole Campbell,us USA,FW,18,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1
24,Ayman Azhil,ma MAR,MF,23,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
25,Elias Benkara,de GER,DF,17,0,0,,,,,,,,,,,,,,,,,
26,Almugera Kabar,de GER,DF,18,0,0,,,,,,,,,,,,,,,,,
27,Robin Lisewski,pl POL,GK,18,0,0,,,,,,,,,,,,,,,,,
28,Marcel Lotka,pl POL,GK,23,0,0,,,,,,,,,,,,,,,,,
29,Filippo Mane,it ITA,DF,19,0,0,,,,,,,,,,,,,,,,,
30,Tyler Meiser,de GER,DF,17,0,0,,,,,,,,,,,,,,,,,
31,Silas Ostrzinski,de GER,GK,20,0,0,,,,,,,,,,,,,,,,,
32,Kjell-Arik Wätjen,de GER,MF,18,0,0,,,,,,,,,,,,,,,,,
