,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
0,Dávid Hancko,sk SVK,DF,26,12,12,1080,12.0,1,0,1,1,0,0,1,0,1.4,1.4,0.2,1.6,17,60,15
1,Igor Paixão,br BRA,FW,24,11,11,918,10.2,2,4,6,2,0,0,0,0,1.0,1.0,2.4,3.4,22,18,54
2,Timon Wellenreuther,de GER,GK,28,11,10,955,10.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0
3,Antoni Milambo,nl NED,MF,19,9,9,762,8.5,3,1,4,3,0,0,1,0,1.2,1.2,0.8,2.0,11,23,24
4,Thomas Beelen,nl NED,"DF,MF",23,12,8,829,9.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,27,0
5,Anis Hadj Moussa,dz ALG,"FW,MF",22,11,8,783,8.7,3,0,3,3,0,0,0,0,0.7,0.7,0.5,1.2,39,30,72
6,Gijs Smal,nl NED,"DF,MF",26,11,8,715,7.9,0,2,2,0,0,0,2,0,0.0,0.0,0.6,0.6,10,29,24
7,Gernot Trauner,at AUT,DF,32,9,7,659,7.3,1,1,2,1,0,0,2,0,0.4,0.4,0.5,0.8,4,36,0
8,Quinten Timber,nl NED,MF,23,7,7,595,6.6,0,1,1,0,0,0,1,0,0.3,0.3,0.2,0.5,9,18,16
9,Hwang In-beom,kr KOR,MF,27,7,7,568,6.3,0,0,0,0,0,0,1,0,0.2,0.2,0.6,0.8,7,29,10
10,Hugo Bueno,es ESP,"DF,MF",21,9,6,546,6.1,0,1,1,0,0,0,1,0,0.2,0.2,0.9,1.2,25,20,36
11,Bart Nieuwkoop,nl NED,"DF,MF",28,5,5,348,3.9,0,1,1,0,0,0,0,0,0.3,0.3,0.2,0.5,1,12,14
12,Ayase Ueda,jp JPN,FW,25,8,4,384,4.3,2,0,2,2,0,1,0,0,1.7,1.0,0.0,1.0,4,3,14
13,Jakub Moder,pl POL,MF,25,4,4,360,4.0,1,0,1,0,1,1,1,0,1.1,0.3,0.4,0.7,2,19,15
14,Ibrahim Osman,gh GHA,"FW,MF",19,7,4,316,3.5,0,0,0,0,0,0,3,0,0.2,0.2,0.5,0.7,12,4,26
15,Santiago Giménez,mx MEX,FW,23,5,4,294,3.3,5,1,6,4,1,1,1,0,2.9,2.1,0.1,2.3,4,4,14
16,Jordan Lotomba,ch SUI,DF,25,5,4,280,3.1,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,4,6,6
17,Givairo Read,nl NED,DF,18,3,3,241,2.7,0,0,0,0,0,0,0,1,0.0,0.0,0.1,0.1,5,11,10
18,Julián Carranza,ar ARG,FW,24,7,2,265,2.9,1,0,1,1,0,0,1,0,0.6,0.6,0.2,0.9,0,4,6
19,Luka Ivanušec,hr CRO,"MF,FW",25,4,2,178,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,4,9
20,Justin Bijlow,nl NED,GK,26,2,2,125,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
21,Jeyland Mitchell,cr CRC,DF,19,7,1,185,2.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,7,2
22,Ramiz Zerrouki,dz ALG,MF,26,4,1,114,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,2,0
23,Calvin Stengs,nl NED,"MF,FW",25,3,1,81,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,2
24,Zepiqueno Redmond,nl NED,"FW,MF",18,2,1,79,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,1
25,Aymen Sliti,nl NED,FW,18,1,1,62,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,2
26,Chris Nadje,fr FRA,"MF,FW",22,3,0,90,1.0,0,0,0,0,0,0,0,1,0.1,0.1,0.0,0.1,1,3,3
27,Gjivai Zechiël,nl NED,MF,20,2,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,4,0
28,Facundo González,uy URU,DF,21,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1
29,Plamen Andreev,bg BUL,GK,19,0,0,,,,,,,,,,,,,,,,,
30,Mannou Berger,nl NED,GK,19,0,0,,,,,,,,,,,,,,,,,
31,Djomar Giersthove,nl NED,DF,19,0,0,,,,,,,,,,,,,,,,,
32,Ismail Ka,nl NED,GK,18,0,0,,,,,,,,,,,,,,,,,
33,Thijs Kraaijeveld,nl NED,MF,17,0,0,,,,,,,,,,,,,,,,,
34,Jan Plug,nl NED,DF,19,0,0,,,,,,,,,,,,,,,,,
35,Tobias Elshout Van Den,nl NED,MF,17,0,0,,,,,,,,,,,,,,,,,
36,Shiloh ’t Zand,nl NED,MF,21,0,0,,,,,,,,,,,,,,,,,
