,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
0,Paulo Gazzaniga,ar ARG,GK,32,7,7,630,7.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0
1,Ladislav Krejčí,cz CZE,DF,25,7,7,630,7.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,4,36,2
2,Miguel Gutiérrez,es ESP,"MF,DF",23,6,6,540,6.0,1,0,1,1,0,0,0,0,0.5,0.5,0.2,0.8,12,26,34
3,Donny van de Beek,nl NED,"MF,FW",27,7,6,448,5.0,1,0,1,1,0,0,1,0,0.7,0.7,0.7,1.4,7,24,22
4,Bryan Gil,es ESP,"FW,MF",23,6,6,447,5.0,0,0,0,0,0,0,3,0,0.5,0.5,1.4,1.9,20,17,48
5,Oriol Romeu,es ESP,MF,32,6,5,446,5.0,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,3,19,2
6,Alejandro Francés,es ESP,DF,21,6,5,435,4.8,0,0,0,0,0,0,2,0,0.3,0.3,0.4,0.7,10,26,17
7,Arnau Martinez,es ESP,"DF,MF",21,5,5,414,4.6,0,0,0,0,0,0,3,1,0.1,0.1,0.3,0.4,11,14,17
8,Iván Martín,es ESP,MF,25,7,5,330,3.7,0,0,0,0,0,0,2,0,1.1,1.1,0.0,1.1,5,11,8
9,Viktor Tsyhankov,ua UKR,FW,26,5,5,325,3.6,0,0,0,0,0,0,0,0,0.8,0.8,0.7,1.4,10,9,21
10,Juanpe,es ESP,DF,33,5,4,391,4.3,1,1,2,1,0,0,0,0,0.1,0.1,0.4,0.5,0,11,0
11,David López,es ESP,DF,34,5,4,368,4.1,1,0,1,1,0,0,1,0,0.4,0.4,0.0,0.4,1,15,1
12,Yangel Herrera,ve VEN,MF,26,5,4,341,3.8,0,0,0,0,0,0,1,0,0.5,0.5,0.3,0.7,2,20,8
13,Daley Blind,nl NED,DF,34,4,4,322,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,3,18,6
14,Arnaut Danjuma,nl NED,FW,27,7,3,389,4.3,1,2,3,1,0,0,1,0,1.3,1.3,1.0,2.3,34,12,38
15,Bojan Miovski,mk MKD,FW,25,4,3,273,3.0,0,0,0,0,0,1,0,0,1.6,0.8,0.0,0.8,0,1,12
16,Cristhian Stuani,uy URU,FW,37,8,2,283,3.1,0,0,0,0,0,1,3,0,1.6,0.8,0.1,0.9,0,1,9
17,Yaser Asprilla,co COL,"MF,FW",20,6,2,245,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,5,15,18
18,Abel Ruiz,es ESP,FW,24,3,2,145,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,2,3,8
19,Pau López,es ESP,GK,29,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
20,Antal Yaakobishvili,hu HUN,DF,20,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0
21,Silvi Clúa,es ESP,MF,19,1,1,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
22,Jhon Solis,co COL,MF,19,5,0,100,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1
23,Portu,es ESP,"FW,MF",32,5,0,99,1.1,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,2,4,7
24,Kim Minsu,kr KOR,MF,18,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0
25,Jastin García,es ESP,DF,20,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1
26,Juan Arango,ve VEN,MF,18,0,0,,,,,,,,,,,,,,,,,
27,Ricard Artero,es ESP,MF,21,0,0,,,,,,,,,,,,,,,,,
28,Marc Aznar,es ESP,DF,18,0,0,,,,,,,,,,,,,,,,,
29,Oriol Comas,es ESP,DF,20,0,0,,,,,,,,,,,,,,,,,
30,Jordi Danso,gm GAM,GK,17,0,0,,,,,,,,,,,,,,,,,
31,Enric García,es ESP,MF,18,0,0,,,,,,,,,,,,,,,,,
32,Lucas García,es ESP,GK,20,0,0,,,,,,,,,,,,,,,,,
33,Pau García,es ESP,GK,17,0,0,,,,,,,,,,,,,,,,,
