,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
0,Yann Sommer,ch SUI,GK,35,14,14,1290,14.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
1,Alessandro Bastoni,it ITA,DF,25,14,12,1075,11.9,0,1,1,0,0,0,3,0,0.3,0.3,0.3,0.6,15,50,24
2,Nicolò Barella,it ITA,MF,27,13,11,992,11.0,0,2,2,0,0,0,2,0,0.4,0.4,1.8,2.3,20,69,38
3,Denzel Dumfries,nl NED,DF,28,12,11,971,10.8,2,3,5,2,0,0,2,0,1.4,1.1,2.0,3.1,24,20,74
4,Marcus Thuram,fr FRA,FW,26,14,11,949,10.5,4,1,5,4,0,0,2,0,3.3,3.3,1.2,4.6,28,13,52
5,Benjamin Pavard,fr FRA,DF,28,12,11,908,10.1,1,0,1,1,0,0,2,0,0.8,0.8,0.6,1.4,11,39,28
6,Hakan Çalhanoğlu,tr TUR,MF,30,12,11,827,9.2,4,2,6,1,3,3,3,0,3.1,0.7,1.0,1.7,5,32,5
7,Henrikh Mkhitaryan,am ARM,MF,35,13,10,854,9.5,0,0,0,0,0,0,3,0,1.1,1.1,1.1,2.1,25,57,27
8,Lautaro Martínez,ar ARG,FW,26,14,10,853,9.5,9,0,9,8,1,1,2,0,4.8,4.0,0.9,5.0,10,25,43
9,Francesco Acerbi,it ITA,DF,36,9,8,770,8.6,1,1,2,1,0,0,2,0,0.6,0.6,0.6,1.3,2,9,3
10,Stefan de Vrij,nl NED,DF,32,9,8,687,7.6,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,29,0
11,Mehdi Taremi,ir IRN,FW,32,12,7,714,7.9,1,3,4,0,1,1,0,0,1.9,1.1,1.8,2.9,11,23,27
12,Yann Aurel Bisseck,de GER,DF,23,13,7,701,7.8,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.7,9,17,15
13,Federico Dimarco,it ITA,"DF,FW",26,10,7,568,6.3,0,1,1,0,0,0,1,0,0.8,0.8,1.7,2.6,18,17,49
14,Carlos Augusto,br BRA,DF,25,13,6,664,7.4,0,2,2,0,0,0,2,0,0.8,0.8,0.4,1.2,14,9,38
15,Piotr Zieliński,pl POL,MF,30,10,6,588,6.5,0,1,1,0,0,1,0,0,1.4,0.6,0.7,1.3,16,30,9
16,Matteo Darmian,it ITA,DF,34,10,5,553,6.1,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,3,7,15
17,Davide Frattesi,it ITA,MF,24,13,4,496,5.5,2,0,2,2,0,0,1,0,0.9,0.9,0.4,1.3,10,12,13
18,Kristjan Asllani,al ALB,MF,22,8,3,357,4.0,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,1,20,3
19,Marko Arnautović,at AUT,FW,35,7,2,206,2.3,1,0,1,1,0,1,2,0,1.8,1.0,0.2,1.3,1,6,15
20,Josep Martinez,es ESP,GK,26,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
21,Nicola Zalewski,pl POL,"MF,DF",22,2,0,38,0.4,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,4,4
22,Giacomo De Pieri,it ITA,FW,17,1,0,15,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,1
23,Thomas Berenbruch,it ITA,MF,19,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2
24,Matteo Cocchi,it ITA,DF,17,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
25,Mike Aidoo,it ITA,DF,19,0,0,,,,,,,,,,,,,,,,,
26,Tajon Buchanan,ca CAN,"DF,FW",25,0,0,,,,,,,,,,,,,,,,,
27,Alessandro Calligaris,it ITA,GK,19,0,0,,,,,,,,,,,,,,,,,
28,Raffaele Di Gennaro,it ITA,GK,30,0,0,,,,,,,,,,,,,,,,,
29,Matteo Motta,it ITA,DF,19,0,0,,,,,,,,,,,,,,,,,
30,Daniele Quieto,ve VEN,MF,18,0,0,,,,,,,,,,,,,,,,,
31,Gabriele Re Cecconi,it ITA,DF,18,0,0,,,,,,,,,,,,,,,,,
32,Mattia Zanchetta,it ITA,MF,18,0,0,,,,,,,,,,,,,,,,,
