,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
0,Federico Gatti,it ITA,DF,26.0,9,8,801.0,8.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.3,11.0,36.0,2.0
1,Michele Di Gregorio,it ITA,GK,27.0,8,8,718.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Kenan Yıldız,tr TUR,"FW,MF",19.0,10,8,665.0,7.4,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.3,1.0,28.0,25.0,57.0
3,Pierre Kalulu,fr FRA,DF,24.0,8,8,645.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,9.0,27.0,0.0
4,Manuel Locatelli,it ITA,"MF,DF",26.0,9,7,670.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.6,0.7,3.0,62.0,6.0
5,Teun Koopmeiners,nl NED,MF,26.0,9,7,654.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.2,1.2,1.6,2.8,13.0,16.0,33.0
6,Francisco Conceição,pt POR,FW,21.0,9,6,605.0,6.7,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.6,0.6,0.5,1.1,50.0,20.0,67.0
7,Weston McKennie,us USA,"MF,DF",25.0,9,6,555.0,6.2,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.3,1.3,0.8,2.1,6.0,38.0,29.0
8,Dušan Vlahović,rs SRB,FW,24.0,9,6,548.0,6.1,4.0,1.0,5.0,3.0,1.0,1.0,1.0,0.0,3.2,2.4,1.0,3.4,6.0,11.0,29.0
9,Andrea Cambiaso,it ITA,DF,24.0,7,5,565.0,6.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,21.0,29.0,22.0
10,Timothy Weah,us USA,"DF,FW",24.0,9,5,558.0,6.2,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.1,0.1,1.2,1.3,21.0,20.0,37.0
11,Khéphren Thuram,fr FRA,MF,23.0,9,5,485.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.4,10.0,19.0,7.0
12,Nicolò Savona,it ITA,DF,21.0,7,5,426.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.0,0.3,8.0,11.0,12.0
13,Nicolás González,ar ARG,FW,26.0,6,5,361.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.2,1.2,0.4,1.7,7.0,13.0,35.0
14,Douglas Luiz,br BRA,MF,26.0,6,3,307.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,4.0,16.0,8.0
15,Danilo,br BRA,DF,33.0,4,2,232.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,4.0
16,Samuel Mbangula,be BEL,FW,20.0,7,2,226.0,2.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.6,1.4,8.0,7.0,25.0
17,Mattia Perin,it ITA,GK,31.0,3,2,211.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Lloyd Kelly,eng ENG,DF,25.0,2,2,210.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,6.0,1.0
19,Nicolò Fagioli,it ITA,"MF,FW",23.0,4,2,207.0,2.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.7,1.0,6.0,15.0,7.0
20,Randal Kolo Muani,fr FRA,FW,25.0,2,2,165.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.9,0.0,0.0,9.0
21,Juan David Cabal,co COL,DF,23.0,2,2,157.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0
22,Renato Veiga,pt POR,DF,21.0,2,2,101.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,1.0
23,Gleison Bremer,br BRA,DF,27.0,2,2,95.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
24,Vasilije Adžić,me MNE,FW,18.0,1,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25,Jonas Rouhi,se SWE,DF,20.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Giovanni Daffara,it ITA,GK,19.0,0,0,,,,,,,,,,,,,,,,,
27,Carlo Pinsoglio,it ITA,GK,34.0,0,0,,,,,,,,,,,,,,,,,
