,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
0,Lucas Chevalier,fr FRA,GK,22,10,10,900,10.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0
1,Alexsandro Ribeiro,br BRA,DF,24,10,10,900,10.0,0,1,1,0,0,0,1,0,0.5,0.5,0.3,0.7,1,27,3
2,Bafodé Diakité,fr FRA,DF,23,10,9,855,9.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,19,0
3,Benjamin André,fr FRA,MF,33,9,9,810,9.0,0,0,0,0,0,0,3,0,0.3,0.3,0.2,0.5,4,41,12
4,Jonathan David,ca CAN,FW,24,10,8,747,8.3,7,2,9,5,2,2,2,0,4.7,3.1,1.3,4.4,8,16,52
5,Ayyoub Bouaddi,fr FRA,MF,16,9,7,622,6.9,0,1,1,0,0,0,1,0,0.1,0.1,0.2,0.3,4,22,8
6,Thomas Meunier,be BEL,DF,32,9,7,616,6.8,0,1,1,0,0,0,3,0,0.5,0.5,0.5,1.0,12,37,27
7,Ngal'Ayel Mukau,cd COD,MF,19,8,6,563,6.3,2,0,2,2,0,0,2,0,0.8,0.8,0.1,0.9,7,16,11
8,Rémy Cabella,fr FRA,"MF,FW",34,7,6,383,4.3,1,1,2,1,0,0,1,0,1.2,1.2,0.6,1.8,17,23,30
9,Gabriel Gudmundsson,se SWE,DF,25,9,5,487,5.4,0,1,1,0,0,0,0,0,0.3,0.3,0.5,0.8,16,19,21
10,Osame Sahraoui,ma MAR,"FW,MF",23,9,5,454,5.0,2,1,3,2,0,0,0,0,0.8,0.8,0.5,1.3,26,33,44
11,Mitchel Bakker,nl NED,"FW,DF",24,8,5,420,4.7,1,1,2,1,0,0,1,0,0.5,0.5,0.5,1.0,9,25,26
12,Aïssa Mandi,dz ALG,DF,32,5,4,319,3.5,0,0,0,0,0,0,3,1,0.0,0.0,0.1,0.1,2,5,1
13,Edon Zhegrova,xk KVX,"FW,MF",25,5,3,363,4.0,1,1,2,1,0,0,1,0,0.4,0.4,0.8,1.1,14,9,31
14,Hákon Arnar Haraldsson,is ISL,"FW,MF",21,6,3,306,3.4,2,0,2,2,0,0,0,0,0.9,0.9,0.7,1.5,10,17,24
15,Ismaily,br BRA,DF,34,4,3,226,2.5,0,1,1,0,0,0,0,0,0.3,0.3,0.2,0.6,5,8,16
16,Angel Gomes,eng ENG,MF,23,4,3,159,1.8,1,0,1,1,0,0,2,1,0.0,0.0,0.3,0.3,0,5,5
17,Matias Fernandez-Pardo,be BEL,"FW,MF",19,7,2,263,2.9,0,1,1,0,0,0,0,0,0.3,0.3,0.4,0.7,15,7,10
18,Mohamed Lamine Bayo,gn GUI,FW,26,3,2,137,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,2,3,10
19,Tiago Santos,pt POR,DF,22,2,1,117,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,5,4
20,Ethan Mbappé,fr FRA,"FW,MF",17,2,1,78,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,6,2,6
21,Ousmane Toure,fr FRA,DF,19,1,1,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0
22,Chuba Akpom,eng ENG,FW,28,1,0,24,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,0,3
23,André Gomes,pt POR,MF,31,2,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,1
24,Younes Lachaab,fr FRA,MF,19,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
25,Lilian Baret,fr FRA,DF,18,0,0,,,,,,,,,,,,,,,,,
26,Marc-Aurèle Caillard,fr FRA,GK,30,0,0,,,,,,,,,,,,,,,,,
27,Isaac Cossier,fr FRA,DF,17,0,0,,,,,,,,,,,,,,,,,
28,Morgan Costarelli,fr FRA,DF,19,0,0,,,,,,,,,,,,,,,,,
29,Vito Mannone,it ITA,GK,36,0,0,,,,,,,,,,,,,,,,,
