,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
0,Virgil van Dijk,nl NED,DF,33,9,9,840,9.3,1,0,1,1,0,0,2,0,0.7,0.7,0.0,0.7,1,36,0
1,Mohamed Salah,eg EGY,FW,32,9,9,806,9.0,3,4,7,2,1,2,0,0,5.0,3.4,3.4,6.9,36,40,114
2,Ryan Gravenberch,nl NED,MF,22,9,9,783,8.7,0,0,0,0,0,0,1,0,0.0,0.0,0.7,0.7,17,51,17
3,Alexis Mac Allister,ar ARG,MF,25,8,7,674,7.5,2,0,2,2,0,0,5,0,1.4,1.4,2.3,3.8,8,44,12
4,Ibrahima Konaté,fr FRA,DF,25,7,7,647,7.2,1,0,1,1,0,0,2,0,0.4,0.4,0.0,0.5,2,19,0
5,Dominik Szoboszlai,hu HUN,MF,23,9,7,635,7.1,1,1,2,1,0,0,0,0,1.0,1.0,0.7,1.7,12,38,31
6,Luis Díaz,co COL,FW,27,9,7,631,7.0,3,0,3,3,0,0,1,0,2.5,2.5,1.1,3.6,26,23,78
7,Trent Alexander-Arnold,eng ENG,DF,25,8,7,573,6.4,0,1,1,0,0,0,0,0,0.5,0.5,0.5,1.0,5,46,16
8,Alisson,br BRA,GK,31,6,6,570,6.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
9,Andrew Robertson,sct SCO,DF,30,8,6,550,6.1,0,1,1,0,0,0,2,0,0.4,0.4,0.7,1.2,12,38,19
10,Darwin Núñez,uy URU,FW,25,9,5,466,5.2,1,1,2,1,0,0,1,0,2.8,2.8,0.5,3.3,12,12,36
11,Kostas Tsimikas,gr GRE,DF,28,6,5,443,4.9,0,1,1,0,0,0,1,0,0.3,0.3,1.0,1.2,3,23,15
12,Cody Gakpo,nl NED,FW,25,8,4,369,4.1,3,1,4,2,1,1,0,0,2.6,1.8,1.4,3.2,21,16,49
13,Caoimhín Kelleher,ie IRL,GK,25,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
14,Curtis Jones,eng ENG,MF,23,8,4,351,3.9,0,2,2,0,0,0,0,0,0.4,0.4,2.0,2.3,14,18,24
15,Conor Bradley,nir NIR,DF,21,5,3,277,3.1,0,1,1,0,0,0,0,0,0.4,0.4,0.3,0.7,9,11,15
16,Diogo Jota,pt POR,FW,27,4,3,235,2.6,0,0,0,0,0,0,0,0,1.0,1.0,0.1,1.1,2,11,11
17,Jarell Quansah,eng ENG,DF,21,4,2,231,2.6,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,2,5,1
18,Harvey Elliott,eng ENG,"MF,FW",21,5,1,171,1.9,3,0,3,3,0,0,2,0,0.7,0.7,0.0,0.7,3,9,10
19,Wataru Endo,jp JPN,"MF,DF",31,6,1,143,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,2
20,Joe Gomez,eng ENG,DF,27,4,1,122,1.4,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,10,3
21,Federico Chiesa,it ITA,FW,26,3,1,107,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,4,4,13
22,James McConnell,eng ENG,MF,19,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,5,1
23,Jayden Danns,eng ENG,FW,18,1,1,82,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,3,0
24,Tyler Morton,eng ENG,MF,21,1,0,39,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2,0
25,Trey Nyoni,eng ENG,"MF,FW",17,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1
26,Amara Nallo,eng ENG,DF,17,1,0,4,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0
27,Harvey Davies,eng ENG,GK,20,0,0,,,,,,,,,,,,,,,,,
28,Trent Doherty,ie IRL,MF,18,0,0,,,,,,,,,,,,,,,,,
29,Vitezslav Jaros,cz CZE,GK,23,0,0,,,,,,,,,,,,,,,,,
30,Isaac Mabaya,eng ENG,MF,19,0,0,,,,,,,,,,,,,,,,,
31,Kieran Morrison,nir NIR,MF,17,0,0,,,,,,,,,,,,,,,,,
32,James Norris,eng ENG,DF,21,0,0,,,,,,,,,,,,,,,,,
