,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
0,Joško Gvardiol,hr CRO,DF,22,10,9,814,9.0,0,1,1,0,0,0,0,0,0.3,0.3,0.9,1.1,25,70,28
1,Erling Haaland,no NOR,FW,24,9,9,769,8.5,8,0,8,6,2,3,0,0,9.0,6.7,0.3,7.1,8,9,32
2,Bernardo Silva,pt POR,"MF,FW",29,9,9,763,8.5,0,0,0,0,0,0,1,0,1.0,1.0,0.6,1.6,33,48,71
3,Ederson,br BRA,GK,30,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
4,Manuel Akanji,ch SUI,DF,29,8,8,644,7.2,0,1,1,0,0,0,0,0,0.3,0.3,0.6,0.9,16,69,2
5,Phil Foden,eng ENG,"MF,FW",24,9,7,687,7.6,3,1,4,3,0,0,0,0,1.7,1.7,1.2,2.9,24,47,73
6,Sávio,br BRA,"FW,MF",20,9,7,576,6.4,1,1,2,1,0,0,1,0,1.5,1.5,0.9,2.4,35,16,92
7,Rico Lewis,eng ENG,"DF,MF",19,9,6,640,7.1,0,1,1,0,0,0,0,0,0.6,0.6,2.5,3.0,20,60,32
8,Matheus Nunes,pt POR,"MF,DF",25,7,6,531,5.9,1,3,4,0,1,1,1,0,0.9,0.2,2.0,2.2,31,38,69
9,İlkay Gündoğan,de GER,MF,33,10,6,523,5.8,2,0,2,2,0,0,1,0,1.7,1.7,0.5,2.2,20,51,28
10,Rúben Dias,pt POR,DF,27,7,5,453,5.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,17,1
11,Kevin De Bruyne,be BEL,MF,33,7,5,397,4.4,0,0,0,0,0,0,0,0,0.8,0.8,2.0,2.8,14,33,42
12,John Stones,eng ENG,"DF,MF",30,6,5,363,4.0,1,2,3,1,0,0,1,0,0.7,0.7,0.4,1.1,11,31,3
13,Jack Grealish,eng ENG,"FW,MF",28,6,4,353,3.9,1,0,1,1,0,0,1,0,0.8,0.8,0.5,1.2,23,19,36
14,Mateo Kovačić,hr CRO,MF,30,6,3,308,3.4,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,11,29,6
15,Nathan Aké,nl NED,DF,29,4,3,284,3.2,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.4,2,16,2
16,Jeremy Doku,be BEL,FW,22,4,2,193,2.1,0,1,1,0,0,0,0,0,0.2,0.2,0.6,0.9,26,6,52
17,Stefan Ortega,de GER,GK,31,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
18,Jahmai Simpson-Pusey,eng ENG,DF,18,2,1,112,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,8,0
19,Kyle Walker,eng ENG,DF,34,2,1,103,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,11,2
20,Omar Marmoush,eg EGY,FW,25,2,1,97,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,1,6
21,Nicolás González,es ESP,MF,22,1,1,90,1.0,1,0,1,1,0,0,1,0,0.9,0.9,0.0,0.9,2,6,1
22,Abdukodir Khusanov,uz UZB,DF,20,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,5,6
23,Rodri,es ESP,MF,28,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,7,1
24,James Mcatee,eng ENG,"MF,FW",21,5,0,110,1.2,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,6,10,15
25,Nico O’Reilly,eng ENG,FW,19,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1
26,Max Alleyne,eng ENG,DF,19,0,0,,,,,,,,,,,,,,,,,
27,Scott Carson,eng ENG,GK,38,0,0,,,,,,,,,,,,,,,,,
28,Max Hudson,wls WAL,GK,16,0,0,,,,,,,,,,,,,,,,,
29,Josh Wilson-Esbrand,eng ENG,DF,21,0,0,,,,,,,,,,,,,,,,,
30,Jacob Wright,eng ENG,MF,18,0,0,,,,,,,,,,,,,,,,,
