,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
0,Tijjani Reijnders,nl NED,MF,26.0,10,10,867.0,9.6,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.4,2.4,0.7,3.1,22.0,54.0,32.0
1,Theo Hernández,fr FRA,DF,26.0,10,10,860.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.2,1.2,0.8,1.9,24.0,44.0,57.0
2,Mike Maignan,fr FRA,GK,29.0,10,10,860.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
3,Youssouf Fofana,fr FRA,MF,25.0,10,9,799.0,8.9,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,1.1,1.6,13.0,56.0,16.0
4,Rafael Leão,pt POR,FW,25.0,10,9,793.0,8.8,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,2.2,2.2,1.5,3.7,41.0,31.0,106.0
5,Christian Pulisic,us USA,"FW,MF",25.0,9,8,628.0,7.0,4.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,1.3,1.3,1.7,3.0,29.0,35.0,46.0
6,Fikayo Tomori,eng ENG,DF,26.0,7,6,564.0,6.3,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.1,0.2,5.0,43.0,1.0
7,Strahinja Pavlović,rs SRB,DF,23.0,7,6,541.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.2,20.0,27.0,4.0
8,Álvaro Morata,es ESP,FW,31.0,7,6,391.0,4.3,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.2,1.2,0.5,1.7,2.0,5.0,15.0
9,Yunus Musah,us USA,"FW,MF",21.0,7,5,412.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,0.3,0.6,13.0,17.0,24.0
10,Matteo Gabbia,it ITA,DF,24.0,6,5,404.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.0,0.4,1.0,20.0,0.0
11,Malick Thiaw,de GER,DF,22.0,5,4,337.0,3.7,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.6,1.3,4.0,29.0,0.0
12,Emerson,br BRA,DF,25.0,7,4,317.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,6.0,16.0,17.0
13,Ruben Loftus-Cheek,eng ENG,MF,28.0,6,4,281.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,9.0,7.0,7.0
14,Davide Calabria,it ITA,DF,27.0,5,3,313.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.4,0.5,4.0,16.0,21.0
15,Tammy Abraham,eng ENG,FW,26.0,9,2,301.0,3.3,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.2,1.2,0.7,1.9,9.0,6.0,19.0
16,João Félix,pt POR,MF,24.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.3,0.7,5.0,13.0,10.0
17,Kyle Walker,eng ENG,DF,34.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,2.0,9.0,15.0
18,Santiago Giménez,mx MEX,FW,23.0,2,2,152.0,1.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.2,0.9,2.0,3.0,7.0
19,Samuel Chukwueze,ng NGA,FW,25.0,7,1,280.0,3.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.7,1.0,21.0,18.0,49.0
20,Noah Okafor,ch SUI,"FW,MF",24.0,5,1,106.0,1.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.6,7.0,11.0,15.0
21,Ismaël Bennacer,dz ALG,MF,26.0,1,1,74.0,0.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,2.0,4.0,0.0
22,Filippo Terracciano,it ITA,"DF,MF",21.0,2,0,61.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0
23,Lorenzo Torriani,it ITA,GK,19.0,1,0,40.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Francesco Camarda,it ITA,"FW,MF",16.0,4,0,39.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,1.0,0.0,2.0
25,Davide Bartesaghi,it ITA,DF,18.0,1,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,1.0,1.0
26,Lapo Nava,it ITA,GK,20.0,0,0,,,,,,,,,,,,,,,,,
27,Marco Sportiello,it ITA,GK,32.0,0,0,,,,,,,,,,,,,,,,,
28,Kevin Zeroli,it ITA,MF,19.0,0,0,,,,,,,,,,,,,,,,,
