,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
0,Thilo Kehrer,de GER,DF,27,10,10,855,9.5,1,1,2,1,0,0,2,0,0.9,0.9,0.0,0.9,7,43,1
1,Maghnes Akliouche,fr FRA,"FW,MF",22,10,10,805,8.9,2,2,4,2,0,0,1,0,1.5,1.5,2.1,3.6,37,47,51
2,Breel Embolo,ch SUI,FW,27,10,10,745,8.3,1,3,4,1,0,0,1,0,3.2,3.2,1.5,4.7,6,19,43
3,Vanderson,br BRA,DF,23,9,9,778,8.6,0,2,2,0,0,0,3,0,0.1,0.1,0.8,0.9,17,23,45
4,Lamine Camara,sn SEN,MF,20,9,9,605,6.7,0,0,0,0,0,0,2,0,0.2,0.2,0.4,0.6,7,23,10
5,Radosław Majecki,pl POL,GK,24,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
6,Denis Zakaria,ch SUI,MF,27,7,7,613,6.8,1,0,1,0,1,1,3,0,0.9,0.2,0.1,0.3,2,37,5
7,Eliesse Ben Seghir,ma MAR,"MF,FW",19,10,7,545,6.1,2,0,2,2,0,0,1,0,1.5,1.5,0.5,2.0,20,20,41
8,Aleksandr Golovin,ru RUS,"FW,MF",28,9,6,574,6.4,0,1,1,0,0,0,1,0,0.5,0.5,1.2,1.7,14,25,33
9,Takumi Minamino,jp JPN,"MF,FW",29,9,6,569,6.3,3,1,4,3,0,0,0,0,2.3,2.3,1.0,3.3,11,20,45
10,Wilfried Singo,ci CIV,DF,23,6,6,507,5.6,2,1,3,2,0,0,2,1,0.5,0.5,0.5,1.1,8,24,8
11,Caio Henrique Oliveira Silva,br BRA,DF,27,8,5,486,5.4,0,0,0,0,0,0,0,0,0.2,0.2,0.9,1.1,16,20,28
12,Mohammed Salisu,gh GHA,DF,25,6,5,478,5.3,1,0,1,1,0,0,1,0,0.2,0.2,0.0,0.2,4,16,0
13,Christian Mawissa,fr FRA,DF,19,6,4,294,3.3,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,3,11,4
14,Soungoutou Magassa,fr FRA,MF,20,7,2,287,3.2,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.2,2,11,3
15,Krépin Diatta,sn SEN,DF,25,4,2,213,2.4,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,8,11,17
16,Philipp Köhn,ch SUI,GK,26,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
17,Mika Biereth,dk DEN,FW,21,2,1,82,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,7
18,Almoatasem Al Musrati,ly LBY,MF,28,1,1,51,0.6,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0,3,0
19,George Ilenikhena,ng NGA,FW,17,6,0,113,1.3,2,0,2,2,0,0,0,0,0.5,0.5,0.1,0.6,1,3,6
20,Folarin Balogun,us USA,FW,23,3,0,94,1.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,2,3,9
21,Jordan Teze,nl NED,"MF,DF",24,3,0,67,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,0
22,Lucas Michal,fr FRA,MF,19,3,0,39,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
23,Eliot Matazo,be BEL,MF,22,3,0,27,0.3,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2,1,0
24,Kassoum Ouattara,fr FRA,DF,19,2,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1
25,Saïmon Bouabré,fr FRA,MF,18,0,0,,,,,,,,,,,,,,,,,
26,Mamadou Coulibaly,fr FRA,MF,20,0,0,,,,,,,,,,,,,,,,,
27,Edan Diop,fr FRA,MF,19,0,0,,,,,,,,,,,,,,,,,
28,Yann Liénard,fr FRA,GK,21,0,0,,,,,,,,,,,,,,,,,
29,Samuel Nibombé,be BEL,DF,16,0,0,,,,,,,,,,,,,,,,,
30,Joan Tincres,fr FRA,FW,18,0,0,,,,,,,,,,,,,,,,,
