,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
0,Walter Benítez,ar ARG,GK,31,11,11,1020,11.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0
1,Olivier Boscagli,fr FRA,DF,26,11,10,910,10.1,0,0,0,0,0,0,1,0,0.3,0.3,0.6,0.9,12,79,1
2,Luuk de Jong,nl NED,FW,33,12,10,904,10.0,2,1,3,2,0,0,2,0,3.7,3.7,1.5,5.2,1,16,43
3,Ryan Flamingo,nl NED,DF,21,11,10,858,9.5,3,0,3,3,0,0,0,1,1.3,1.3,0.2,1.4,5,49,1
4,Johan Bakayoko,be BEL,"FW,MF",21,12,9,858,9.5,2,1,3,2,0,0,1,0,1.8,1.8,1.7,3.5,60,24,123
5,Mauro Júnior,br BRA,"DF,MF",25,10,9,828,9.2,0,0,0,0,0,0,2,0,0.4,0.4,0.3,0.7,7,35,48
6,Guus Til,nl NED,"MF,FW",26,12,8,769,8.5,0,2,2,0,0,0,0,0,1.9,1.9,1.3,3.2,8,23,51
7,Ismael Saibari,ma MAR,MF,23,10,8,723,8.0,3,1,4,3,0,0,1,0,3.1,3.1,1.5,4.6,23,40,41
8,Noa Lang,nl NED,FW,25,10,8,682,7.6,2,2,4,1,1,1,1,0,2.2,1.4,1.1,2.5,49,45,70
9,Jerdy Schouten,nl NED,MF,27,7,7,566,6.3,1,0,1,1,0,0,1,0,0.1,0.1,0.1,0.3,3,37,5
10,Richy Ledezma,us USA,DF,23,11,6,574,6.4,0,0,0,0,0,0,1,0,0.0,0.0,0.5,0.5,13,41,26
11,Malik Tillman,us USA,"MF,FW",22,6,6,533,5.9,3,2,5,3,0,0,3,0,0.5,0.5,1.4,1.9,8,33,31
12,Matteo Dams,be BEL,DF,20,6,6,416,4.6,0,0,0,0,0,0,3,0,0.0,0.0,0.2,0.2,0,19,13
13,Joey Veerman,nl NED,MF,25,8,5,545,6.1,0,3,3,0,0,0,2,0,0.8,0.8,1.2,2.1,0,52,4
14,Rick Karsdorp,nl NED,DF,29,7,4,333,3.7,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.2,3,29,9
15,Ivan Perišić,hr CRO,FW,35,4,4,332,3.7,3,0,3,3,0,0,0,0,0.9,0.9,0.4,1.3,11,14,36
16,Armando Obispo,nl NED,DF,25,6,3,263,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,9,0
17,Tyrell Malacia,nl NED,DF,24,3,2,223,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.5,0.5,4,7,6
18,Ricardo Pepi,us USA,FW,21,7,1,164,1.8,2,1,3,2,0,0,0,0,1.3,1.3,0.5,1.8,1,2,22
19,Couhaib Driouech,ma MAR,"FW,MF",22,5,1,154,1.7,1,0,1,1,0,0,0,0,0.6,0.6,0.3,0.8,6,1,19
20,Adamo Nagalo,bf BFA,DF,21,5,1,146,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,0
21,Isaac Babadi,nl NED,"MF,FW",19,4,1,105,1.2,0,1,1,0,0,0,2,0,0.3,0.3,0.4,0.7,5,6,5
22,Joel Drommel,nl NED,GK,27,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
23,Tygo Land,nl NED,MF,18,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,1
24,Hirving Lozano,mx MEX,"FW,MF",29,2,0,35,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,2,7
25,Fredrik Oppegard,no NOR,DF,21,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1
26,Wessel Kuhn,nl NED,FW,17,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
27,Esmir Bajraktarevic,ba BIH,FW,19,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
28,Tay Abed,il ISR,MF,20,0,0,,,,,,,,,,,,,,,,,
29,Michael Bresser,nl NED,DF,17,0,0,,,,,,,,,,,,,,,,,
30,Sergiño Dest,us USA,DF,23,0,0,,,,,,,,,,,,,,,,,
31,Niek Schiks,nl NED,GK,20,0,0,,,,,,,,,,,,,,,,,
32,Tijn Smolenaars,nl NED,GK,19,0,0,,,,,,,,,,,,,,,,,
33,Jesper Uneken,nl NED,FW,19,0,0,,,,,,,,,,,,,,,,,
