,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
0,Willian Pacho,ec ECU,DF,22.0,17,17,1541.0,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,3.0,36.0,2.0
1,Achraf Hakimi,ma MAR,DF,25.0,17,17,1540.0,17.1,4.0,5.0,9.0,4.0,0.0,0.0,3.0,0.0,3.2,3.2,4.6,7.8,75.0,110.0,160.0
2,Vitinha,pt POR,MF,24.0,17,16,1447.0,16.1,2.0,2.0,4.0,1.0,1.0,2.0,0.0,0.0,2.3,0.7,2.1,2.8,24.0,103.0,21.0
3,Nuno Mendes,pt POR,DF,22.0,16,16,1446.0,16.1,4.0,1.0,5.0,4.0,0.0,0.0,4.0,0.0,2.2,2.2,1.2,3.4,42.0,98.0,47.0
4,Marquinhos,br BRA,DF,30.0,16,16,1439.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.7,0.7,0.5,1.2,7.0,87.0,1.0
5,João Neves,pt POR,MF,19.0,17,16,1431.0,15.9,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.1,2.1,1.7,3.8,22.0,90.0,32.0
6,Gianluigi Donnarumma,it ITA,GK,25.0,15,15,1380.0,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Fabián Ruiz Peña,es ESP,MF,28.0,17,14,1145.0,12.7,1.0,4.0,5.0,1.0,0.0,0.0,2.0,0.0,1.1,1.1,2.3,3.3,18.0,69.0,43.0
8,Bradley Barcola,fr FRA,FW,21.0,17,14,1087.0,12.1,3.0,4.0,7.0,3.0,0.0,0.0,1.0,0.0,6.0,6.0,3.8,9.8,61.0,25.0,177.0
9,Ousmane Dembélé,fr FRA,FW,27.0,15,13,1158.0,12.9,8.0,6.0,14.0,8.0,0.0,0.0,2.0,1.0,8.1,8.1,3.7,11.8,89.0,87.0,138.0
10,Désiré Doué,fr FRA,FW,19.0,16,8,740.0,8.2,5.0,3.0,8.0,5.0,0.0,0.0,1.0,0.0,2.7,2.7,2.5,5.2,52.0,27.0,64.0
11,Khvicha Kvaratskhelia,ge GEO,FW,23.0,9,8,733.0,8.1,3.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,1.5,3.5,54.0,26.0,65.0
12,Warren Zaïre-Emery,fr FRA,MF,18.0,13,6,605.0,6.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.2,1.2,0.4,1.6,15.0,44.0,21.0
13,Lee Kang-in,kr KOR,"FW,MF",23.0,11,4,468.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.6,2.0,19.0,39.0,56.0
14,Matvei Safonov,ru RUS,GK,25.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Marco Asensio,es ESP,FW,28.0,4,2,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,3.0,2.0,7.0
16,Gonçalo Ramos,pt POR,FW,23.0,12,1,214.0,2.4,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,2.7,2.7,0.8,3.5,3.0,2.0,5.0
17,Lucas Beraldo,br BRA,DF,20.0,4,1,142.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,6.0,0.0
18,Lucas Hernández,fr FRA,DF,28.0,5,1,118.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0
19,Randal Kolo Muani,fr FRA,FW,25.0,4,0,107.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.3,1.2,2.0,4.0,13.0
20,Senny Mayulu,fr FRA,MF,18.0,4,0,50.0,0.6,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,1.0,3.0,3.0
21,Presnel Kimpembe,fr FRA,DF,28.0,1,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22,Naoufel El Hannach,ma MAR,DF,17.0,0,0,,,,,,,,,,,,,,,,,
23,Ibrahim Mbaye,fr FRA,FW,16.0,0,0,,,,,,,,,,,,,,,,,
24,Louis Mouquet,pt POR,GK,20.0,0,0,,,,,,,,,,,,,,,,,
25,Milan Škriniar,sk SVK,"DF,MF",29.0,0,0,,,,,,,,,,,,,,,,,
26,Axel Tapé,fr FRA,MF,16.0,0,0,,,,,,,,,,,,,,,,,
27,Arnau Tenas,es ESP,GK,23.0,0,0,,,,,,,,,,,,,,,,,
28,Yoram Zague,fr FRA,DF,18.0,0,0,,,,,,,,,,,,,,,,,
