,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
0,Willi Orban,hu HUN,DF,31.0,8,8,720.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.0,0.6,3.0,18.0,3.0
1,Loïs Openda,be BEL,FW,24.0,8,8,679.0,7.5,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,2.4,2.4,1.3,3.8,11.0,9.0,44.0
2,Amadou Haidara,ml MLI,MF,26.0,8,8,588.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.5,0.7,3.0,27.0,7.0
3,Lutsharel Geertruida,nl NED,DF,24.0,8,7,617.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,1.0,1.2,4.0,23.0,16.0
4,Péter Gulácsi,hu HUN,GK,34.0,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Benjamin Šeško,si SVN,FW,21.0,8,6,520.0,5.8,4.0,0.0,4.0,3.0,1.0,1.0,1.0,0.0,3.6,2.8,0.1,2.9,7.0,4.0,22.0
6,Antonio Nusa,no NOR,"MF,DF",19.0,8,6,518.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.7,1.3,22.0,19.0,39.0
7,Christoph Baumgartner,at AUT,"MF,FW",24.0,8,6,480.0,5.3,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.4,2.4,6.0,10.0,26.0
8,Benjamin Henrichs,de GER,"DF,MF",27.0,6,5,474.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.1,0.5,6.0,21.0,14.0
9,Nicolas Seiwald,at AUT,"MF,DF",23.0,7,4,406.0,4.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,1.0,18.0,3.0
10,Castello Lukeba,fr FRA,DF,21.0,5,4,379.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,19.0,2.0
11,Arthur Vermeeren,be BEL,MF,19.0,7,4,336.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.0,4.0
12,Xavi Simons,nl NED,MF,21.0,5,4,335.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.7,1.5,12.0,20.0,25.0
13,El Chadaille Bitshiabu,fr FRA,DF,19.0,4,3,268.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0
14,David Raum,de GER,DF,26.0,4,3,266.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,1.8,1.9,4.0,4.0,22.0
15,Kevin Kampl,si SVN,MF,33.0,5,2,263.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,4.0,14.0,5.0
16,Maarten Vandevoordt,be BEL,GK,22.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Yussuf Poulsen,dk DEN,"FW,MF",30.0,6,1,155.0,1.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.3,1.3,0.3,1.6,0.0,5.0,6.0
18,André Silva,pt POR,FW,28.0,4,1,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,1.0,1.0,3.0
19,Lukas Klostermann,de GER,DF,28.0,3,0,44.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0
20,Elif Elmas,mk MKD,MF,24.0,3,0,36.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,3.0,1.0
21,Assan Ouedraogo,de GER,"MF,DF",18.0,2,0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,1.0
22,Viggo Gebel,de GER,DF,16.0,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23,Fernando Dickes,de GER,GK,16.0,0,0,,,,,,,,,,,,,,,,,
24,Nuha Jatta,gm GAM,MF,18.0,0,0,,,,,,,,,,,,,,,,,
25,Leon Koß,de GER,DF,17.0,0,0,,,,,,,,,,,,,,,,,
26,Faik Sakar,de GER,MF,16.0,0,0,,,,,,,,,,,,,,,,,
27,Lionel Voufack,de GER,DF,16.0,0,0,,,,,,,,,,,,,,,,,
