,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
0,Federico Valverde,uy URU,"MF,DF",26,14,14,1235,13.7,0,3,3,0,0,0,1,0,0.4,0.4,2.6,3.0,24,78,23
1,Antonio Rüdiger,de GER,DF,31,13,13,1187,13.2,2,0,2,2,0,0,3,0,1.7,1.7,0.2,1.9,7,35,2
2,Jude Bellingham,eng ENG,MF,21,13,13,1131,12.6,3,3,6,3,0,0,3,0,3.8,3.8,2.2,6.0,23,78,47
3,Kylian Mbappé,fr FRA,FW,25,14,13,1127,12.5,7,1,8,7,0,1,0,0,9.2,8.4,1.0,9.4,53,35,117
4,Thibaut Courtois,be BEL,GK,32,12,12,1110,12.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
5,Vinicius Júnior,br BRA,FW,24,12,12,1103,12.3,8,2,10,7,1,2,4,0,6.7,5.1,3.8,8.9,82,28,122
6,Ferland Mendy,fr FRA,DF,29,11,11,885,9.8,0,1,1,0,0,0,1,0,0.5,0.5,0.2,0.7,6,23,22
7,Rodrygo,br BRA,"MF,FW",23,12,10,875,9.7,5,2,7,5,0,0,0,0,2.3,2.3,2.4,4.6,45,38,100
8,Aurélien Tchouaméni,fr FRA,"MF,DF",24,11,10,797,8.9,0,0,0,0,0,0,3,0,0.2,0.2,0.2,0.4,5,48,2
9,Raúl Asencio,es ESP,DF,21,10,8,749,8.3,0,1,1,0,0,0,2,0,0.1,0.1,0.1,0.2,3,7,2
10,Luka Modrić,hr CRO,MF,38,14,7,647,7.2,0,3,3,0,0,0,2,0,0.2,0.2,1.5,1.7,11,63,14
11,Lucas Vázquez,es ESP,DF,33,10,6,575,6.4,1,1,2,1,0,0,4,0,0.5,0.5,1.1,1.6,7,25,47
12,Eduardo Camavinga,fr FRA,MF,21,9,5,496,5.5,0,0,0,0,0,0,4,1,0.1,0.1,0.6,0.7,7,25,5
13,Brahim Díaz,ma MAR,"FW,MF",24,11,4,482,5.4,2,1,3,2,0,0,1,0,1.4,1.4,1.0,2.4,19,22,33
14,Dani Ceballos,es ESP,MF,27,9,4,405,4.5,0,1,1,0,0,0,1,0,0.1,0.1,0.7,0.7,4,35,2
15,Éder Militão,br BRA,DF,26,4,3,281,3.1,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.5,2,12,1
16,Dani Carvajal,es ESP,DF,32,2,2,180,2.0,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.2,3,12,14
17,Andriy Lunin,ua UKR,GK,25,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
18,David Alaba,at AUT,DF,32,5,2,175,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,5,6
19,Fran Garcia,es ESP,DF,24,9,1,268,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,8,13,20
20,Arda Güler,tr TUR,"MF,FW",19,7,1,147,1.6,0,0,0,0,0,0,0,0,0.5,0.5,1.4,1.9,6,15,7
21,Endrick,br BRA,FW,18,9,1,141,1.6,1,0,1,1,0,0,2,0,1.0,1.0,0.5,1.5,1,3,10
22,Jacobo Ramón,es ESP,DF,19,1,0,13,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0
23,Diego Aguado,es ESP,DF,17,0,0,,,,,,,,,,,,,,,,,
24,Lorenzo Aguado,es ESP,DF,21,0,0,,,,,,,,,,,,,,,,,
25,Chema,es ESP,MF,19,0,0,,,,,,,,,,,,,,,,,
26,Pol Fortuny,es ESP,MF,19,0,0,,,,,,,,,,,,,,,,,
27,Fran,es ESP,GK,19,0,0,,,,,,,,,,,,,,,,,
28,Gonzalo García,es ESP,MF,20,0,0,,,,,,,,,,,,,,,,,
29,Youssef Lekhedim,es ESP,DF,18,0,0,,,,,,,,,,,,,,,,,
30,Hugo de Llanos,es ESP,MF,19,0,0,,,,,,,,,,,,,,,,,
31,Sergio Mestre,es ESP,GK,19,0,0,,,,,,,,,,,,,,,,,
32,Jesús Vallejo,es ESP,DF,27,0,0,,,,,,,,,,,,,,,,,
33,Daniel Yáñez,es ESP,MF,17,0,0,,,,,,,,,,,,,,,,,
