,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
0,Oscar Gloukh,il ISR,"FW,MF",20.0,8,8,679.0,7.5,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,1.2,1.7,44.0,37.0,48.0
1,Amar Dedić,ba BIH,DF,21.0,7,7,630.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.9,1.4,38.0,36.0,26.0
2,Samson Baidoo,at AUT,DF,20.0,7,7,616.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,4.0,25.0,1.0
3,Nicolás Capaldo,ar ARG,"MF,DF",26.0,8,5,515.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.1,0.2,7.0,16.0,13.0
4,Nene Dorgeles,ml MLI,FW,21.0,8,5,484.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.8,18.0,20.0,33.0
5,Kamil Piątkowski,pl POL,DF,24.0,6,5,478.0,5.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,0.0,15.0,0.0
6,Aleksa Terzić,rs SRB,DF,24.0,6,5,400.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,11.0,13.0,27.0
7,Moussa Kounfolo Yeo,ml MLI,"FW,MF",20.0,6,5,340.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.3,10.0,8.0,14.0
8,Adam Daghim,dk DEN,FW,18.0,7,4,393.0,4.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.2,0.7,16.0,9.0,38.0
9,Janis Blaswich,de GER,GK,33.0,5,4,382.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Mamady Diambou,ml MLI,"MF,DF",21.0,7,4,364.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,9.0
11,Alexander Schlager,at AUT,GK,28.0,4,4,335.0,3.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Mads Bidstrup,dk DEN,MF,23.0,5,4,331.0,3.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,0.3,1.0,3.0,9.0,12.0
13,Bobby Clark,eng ENG,"MF,FW",19.0,6,4,326.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,7.0,12.0,15.0
14,Karim Konaté,ci CIV,FW,20.0,5,4,318.0,3.5,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.8,2.0,0.1,2.1,4.0,0.0,18.0
15,Lucas Gourna-Douath,fr FRA,MF,20.0,6,4,300.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,3.0
16,Hendry Blank,de GER,DF,19.0,4,3,284.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0
17,Stefan Bajcetic,es ESP,MF,19.0,6,1,205.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,11.0,4.0
18,Daouda Guindo,ml MLI,DF,21.0,4,1,154.0,1.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0
19,Petar Ratkov,rs SRB,FW,20.0,4,1,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.0,3.0,4.0
20,Maurits Kjærgaard,dk DEN,MF,21.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,4.0,11.0,6.0
21,Leandro Morgalla,de GER,DF,19.0,3,1,83.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0
22,John Mellberg,se SWE,DF,18.0,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0
23,Takumu Kawamura,jp JPN,MF,24.0,3,0,52.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
24,Salko Hamzic,at AUT,GK,17.0,0,0,,,,,,,,,,,,,,,,,
25,Oliver Lukic,hr CRO,MF,17.0,0,0,,,,,,,,,,,,,,,,,
26,Valentin Oelz,at AUT,GK,19.0,0,0,,,,,,,,,,,,,,,,,
27,Bryan Okoh,ch SUI,DF,21.0,0,0,,,,,,,,,,,,,,,,,
