,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
0,Nasser Djiga,bf BFA,DF,21.0,8,8,720.0,8.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.7,0.9,13.0,33.0,7.0
1,Timi Elšnik,si SVN,"MF,DF",26.0,8,8,720.0,8.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,1.4,1.7,15.0,49.0,21.0
2,Seol Young-woo,kr KOR,DF,25.0,8,8,700.0,7.8,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.5,0.7,13.0,34.0,38.0
3,Rade Krunić,ba BIH,MF,30.0,8,8,664.0,7.4,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.5,0.5,0.6,1.1,12.0,38.0,8.0
4,Silas Katompa,cd COD,FW,25.0,8,8,618.0,6.9,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.2,1.2,0.6,1.8,16.0,18.0,42.0
5,Uroš Spajić,rs SRB,DF,31.0,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,1.0,2.0,1.0
6,Cherif Ndiaye,sn SEN,FW,28.0,8,7,566.0,6.3,2.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,3.0,2.2,0.7,2.9,4.0,11.0,22.0
7,Andrija Maksimović,rs SRB,"MF,FW",17.0,7,6,414.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,1.1,1.5,10.0,24.0,19.0
8,Ognjen Mimovic,rs SRB,DF,19.0,5,5,370.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,10.0,14.0,22.0
9,Mirko Ivanić,me MNE,"MF,FW",30.0,5,3,347.0,3.9,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.1,1.1,0.8,1.9,13.0,22.0,34.0
10,Omri Glazer,il ISR,GK,28.0,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Ivan Guteša,rs SRB,GK,22.0,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Peter Olayinka,ng NGA,"FW,DF",28.0,3,3,250.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,6.0,7.0,19.0
13,Marko Ilić,rs SRB,GK,26.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Vanja Drkušič,si SVN,DF,24.0,2,2,178.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Milson,ao ANG,FW,24.0,5,2,171.0,1.9,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.8,0.8,0.1,1.0,10.0,5.0,13.0
16,Bruno Duarte,br BRA,"FW,MF",28.0,7,2,154.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,7.0,4.0,10.0
17,Nemanja Radonjić,rs SRB,"FW,MF",28.0,4,1,158.0,1.8,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.8,0.8,0.2,1.0,10.0,7.0,15.0
18,Guélor Kanga,ga GAB,"MF,FW",33.0,5,1,143.0,1.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,7.0,0.0
19,Milan Rodić,rs SRB,DF,33.0,3,1,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,Dálcio,gw GNB,MF,28.0,5,0,183.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.0,6.0,5.0
21,Luka Ilić,rs SRB,"MF,FW",25.0,5,0,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,2.0,4.0
22,Aleksandar Katai,rs SRB,FW,33.0,2,0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
23,Egor Prutsev,ru RUS,FW,21.0,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,Vuk Draškić,rs SRB,GK,17.0,0,0,,,,,,,,,,,,,,,,,
25,Lazar Jovanović,rs SRB,FW,17.0,0,0,,,,,,,,,,,,,,,,,
26,Stefan Lekovic,rs SRB,DF,20.0,0,0,,,,,,,,,,,,,,,,,
27,Veljko Milosavljević,rs SRB,MF,17.0,0,0,,,,,,,,,,,,,,,,,
28,Jovan Šljivić,rs SRB,MF,18.0,0,0,,,,,,,,,,,,,,,,,
