,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
0,Valerii Bondar,ua UKR,DF,25.0,8,8,720.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,1.0,11.0,0.0
1,Mykola Matviyenko,ua UKR,DF,28.0,8,8,720.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,4.0,32.0,2.0
2,Dmytro Riznyk,ua UKR,GK,25.0,8,8,720.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0
3,Heorhiy Sudakov,ua UKR,MF,21.0,8,8,700.0,7.8,2.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,2.4,0.8,1.3,2.1,13.0,33.0,27.0
4,Dmytro Kryskiv,ua UKR,MF,23.0,8,7,672.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.7,0.9,8.0,21.0,10.0
5,Oleksandr Zubkov,ua UKR,"FW,MF",27.0,8,7,532.0,5.9,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.3,1.3,1.0,2.3,11.0,20.0,31.0
6,Yukhym Konoplia,ua UKR,DF,24.0,7,5,465.0,5.2,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.6,0.9,5.0,8.0,15.0
7,Artem Bondarenko,ua UKR,MF,23.0,8,5,462.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,6.0,14.0,12.0
8,Kevin,br BRA,"MF,FW",21.0,7,5,459.0,5.1,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.1,1.1,0.5,1.6,25.0,9.0,20.0
9,Pedro Henrique,br BRA,DF,22.0,6,5,446.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,6.0,6.0
10,Eguinaldo,br BRA,FW,19.0,7,5,406.0,4.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.4,1.3,7.0,6.0,20.0
11,Marlon Gomes,br BRA,MF,20.0,7,4,288.0,3.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.6,0.6,0.0,0.6,4.0,11.0,5.0
12,Danylo Sikan,ua UKR,FW,23.0,5,4,219.0,2.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.6,2.0,1.0,2.0
13,Vinicius Tobias,br BRA,DF,20.0,3,2,210.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,12.0
14,Pedrinho,br BRA,"FW,MF",26.0,4,2,205.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,1.0,8.0,14.0
15,Irakli Azarov,ge GEO,DF,22.0,2,2,162.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,3.0,7.0,7.0
16,Alaa Ghram,tn TUN,DF,23.0,2,2,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17,Taras Stepanenko,ua UKR,MF,34.0,6,1,122.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
18,Lassina Franck Traoré,bf BFA,FW,23.0,6,0,146.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,2.0,4.0
19,Newerton,br BRA,"FW,MF",19.0,4,0,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0
20,Bartol Franjić,hr CRO,"DF,MF",24.0,2,0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Maryan Faryna,ua UKR,DF,20.0,0,0,,,,,,,,,,,,,,,,,
22,Kiril Fesiun,ua UKR,GK,21.0,0,0,,,,,,,,,,,,,,,,,
23,Anton Hlushchenko,ua UKR,MF,20.0,0,0,,,,,,,,,,,,,,,,,
24,Yehor Nazaryna,ua UKR,MF,27.0,0,0,,,,,,,,,,,,,,,,,
25,Maryan Shved,ua UKR,"FW,MF",27.0,0,0,,,,,,,,,,,,,,,,,
26,Denys Tvardovskyi,ua UKR,GK,21.0,0,0,,,,,,,,,,,,,,,,,
