,2024-07-10,19:00 (22:30),First qualifying round,Wed,Home,W,4,2
0,2024-07-17,17:00 (20:30),First qualifying round,Wed,Away,W,2.0,1.0
1,,,,,,,,
2,2024-07-24,20:15 (23:45),Second qualifying round,Wed,Away,D,1.0,1.0
3,2024-07-30,20:30 (00:00),Second qualifying round,Tue,Home,W,5.0,0.0
4,,,,,,,,
5,2024-08-07,20:30 (00:00),Third qualifying round,Wed,Home,W,2.0,0.0
6,2024-08-13,20:00 (22:30),Third qualifying round,Tue,Away,D,0.0,0.0
7,,,,,,,,
8,2024-08-21,21:00 (00:30),Play-off round,Wed,Away,D,1.0,1.0
9,2024-08-28,21:00 (00:30),Play-off round,Wed,Home,W,3.0,2.0
10,,,,,,,,
11,2024-09-18,20:00 (00:30),League phase,Wed,Away,L,1.0,5.0
12,2024-10-01,21:00 (00:30),League phase,Tue,Home,L,0.0,4.0
13,2024-10-22,21:00 (00:30),League phase,Tue,Away,L,0.0,2.0
14,2024-11-05,18:45 (23:15),League phase,Tue,Home,L,1.0,4.0
15,2024-11-26,18:45 (23:15),League phase,Tue,Home,L,2.0,3.0
16,2024-12-11,18:45 (23:15),League phase,Wed,Away,L,1.0,3.0
