,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
0,Peter Vindahl Jensen,dk DEN,GK,26,8,8,720,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0
1,Martin Vitík,cz CZE,DF,21,8,8,720,8.0,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.4,6,20,3
2,Kaan Kairinen,fi FIN,MF,25,8,8,712,7.9,2,0,2,2,0,0,1,0,0.6,0.6,0.3,0.9,4,24,9
3,Qazim Laçi,al ALB,MF,28,8,7,601,6.7,1,0,1,1,0,0,0,0,0.9,0.9,0.3,1.2,6,26,15
4,Filip Panák,cz CZE,DF,28,7,6,563,6.3,0,1,1,0,0,0,0,0,0.3,0.3,0.2,0.5,2,14,3
5,Matěj Ryneš,cz CZE,"MF,DF",23,7,6,522,5.8,0,0,0,0,0,0,1,0,0.1,0.1,0.5,0.6,5,18,16
6,Tomáš Wiesner,cz CZE,"DF,MF",27,7,6,505,5.6,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,9,17,16
7,Veljko Birmančević,rs SRB,FW,26,6,6,491,5.5,0,0,0,0,0,0,1,0,1.4,1.4,0.3,1.7,14,8,31
8,Victor Olatunji,ng NGA,FW,24,8,5,422,4.7,2,1,3,2,0,0,2,0,1.0,1.0,0.8,1.8,3,6,12
9,Asger Sørensen,dk DEN,DF,28,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,13,1
10,Albion Rrahmani,xk KVX,FW,23,6,4,325,3.6,1,0,1,1,0,0,0,0,0.3,0.3,0.3,0.6,3,7,17
11,Lukáš Haraslín,sk SVK,FW,28,6,4,263,2.9,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,10,5,13
12,Lukáš Sadílek,cz CZE,MF,28,6,3,304,3.4,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.3,5,8,10
13,Jaroslav Zelený,cz CZE,DF,31,5,3,298,3.3,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,1,4,3
14,Ángelo Preciado,ec ECU,MF,26,3,3,270,3.0,0,0,0,0,0,0,1,0,0.1,0.1,0.6,0.7,8,3,11
15,Elias Cobbaut,be BEL,DF,26,2,2,157,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1
16,Ermal Krasniqi,xk KVX,FW,25,7,1,160,1.8,0,0,0,0,0,0,1,0,0.5,0.5,0.1,0.6,0,2,4
17,Jakub Pesek,cz CZE,FW,31,2,1,129,1.4,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0,0,7
18,Mathias Ross,dk DEN,DF,23,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1
19,Adam Sevinsky,cz CZE,DF,20,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0
20,Markus Solbakken,no NOR,MF,24,4,1,87,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,4,2
21,Kryštof Daněk,cz CZE,"FW,MF",21,3,0,50,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,3
22,Indrit Tuci,al ALB,FW,23,2,0,44,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2
23,Martin Suchomel,cz CZE,"DF,MF",21,3,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2
24,David Pavelka,cz CZE,MF,33,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
25,Lukáš Penxa,,DF,20,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
26,Jesse Heerkens,nl NED,GK,18,0,0,,,,,,,,,,,,,,,,,
27,Daniel Rus,cz CZE,FW,18,0,0,,,,,,,,,,,,,,,,,
28,Jakub Surovčík,sk SVK,GK,22,0,0,,,,,,,,,,,,,,,,,
29,Dalibor Večerka,cz CZE,DF,21,0,0,,,,,,,,,,,,,,,,,
30,Vojtěch Vorel,cz CZE,GK,28,0,0,,,,,,,,,,,,,,,,,
