,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
0,Francisco Trincão,pt POR,"MF,FW",24,9,9,787,8.7,0,1,1,0,0,0,1,0,1.0,1.0,0.9,1.9,25,28,35
1,Morten Hjulmand,dk DEN,MF,25,9,9,765,8.5,0,0,0,0,0,0,3,0,0.2,0.2,0.4,0.6,4,25,5
2,Ousmane Diomande,ci CIV,DF,20,9,9,751,8.3,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,18,0
3,Geovany Quenda,pt POR,"DF,MF",17,10,8,721,8.0,0,1,1,0,0,0,2,0,0.5,0.5,1.1,1.6,25,34,44
4,Franco Israel,uy URU,GK,24,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
5,Maximiliano Araújo,uy URU,"DF,MF",24,10,7,624,6.9,1,0,1,1,0,0,2,0,0.8,0.8,0.5,1.3,24,32,50
6,Zeno Debast,be BEL,"DF,MF",20,8,7,565,6.3,1,1,2,1,0,0,2,0,0.1,0.1,0.9,1.0,2,18,3
7,Viktor Gyökeres,se SWE,FW,26,8,6,608,6.8,6,1,7,4,2,2,1,0,4.5,3.0,1.7,4.7,29,12,64
8,Geny Catamo,mz MOZ,"DF,MF",23,8,6,504,5.6,1,0,1,1,0,0,0,0,1.0,1.0,0.4,1.4,16,20,33
9,Gonçalo Inácio,pt POR,DF,22,7,6,486,5.4,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,2,16,0
10,Matheus Reis,br BRA,DF,29,8,4,435,4.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,6,20,13
11,Hidemasa Morita,jp JPN,MF,29,7,4,372,4.1,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,16,5
12,Conrad Harder,dk DEN,"FW,MF",19,9,4,326,3.6,1,0,1,1,0,0,0,0,1.9,1.9,0.3,2.2,6,2,23
13,Jerry St. Juste,nl NED,DF,27,6,3,291,3.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,16,1
14,Iván Fresneda,es ESP,DF,19,3,3,237,2.6,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,5,8
15,João Simões,pt POR,MF,17,5,3,234,2.6,0,1,1,0,0,0,1,0,0.2,0.2,0.9,1.1,5,13,8
16,Daniel Bragança,pt POR,MF,25,8,2,318,3.5,1,2,3,1,0,0,1,0,1.3,1.3,0.4,1.6,6,23,8
17,Eduardo Quaresma,pt POR,DF,22,5,2,217,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,5,1
18,Pedro Gonçalves,pt POR,MF,26,3,2,201,2.2,0,2,2,0,0,0,1,0,0.7,0.7,1.4,2.1,5,9,4
19,Rui Silva,pt POR,GK,30,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
20,Ricardo Esgaio,pt POR,DF,31,4,2,170,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,7,14
21,Nuno Santos,pt POR,DF,29,2,2,161,1.8,1,0,1,1,0,0,0,0,0.1,0.1,0.1,0.2,6,12,10
22,Biel,br BRA,"MF,FW",23,2,1,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,4
23,Marcus Edwards,eng ENG,MF,25,1,1,67,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,3,1
24,Alexandre Brito,pt POR,MF,19,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1
25,Afonso Bastardo,pt POR,MF,19,1,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,2
26,Lucas Anjos,pt POR,MF,20,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0
27,Miguel Alves,pt POR,DF,18,0,0,,,,,,,,,,,,,,,,,
28,Henrique Arreiol,pt POR,MF,19,0,0,,,,,,,,,,,,,,,,,
29,Diego Callai,it ITA,GK,20,0,0,,,,,,,,,,,,,,,,,
30,Eduardo Felicíssimo,pt POR,MF,17,0,0,,,,,,,,,,,,,,,,,
31,Luís Gomes,pt POR,FW,20,0,0,,,,,,,,,,,,,,,,,
32,Vladan Kovačević,ba BIH,GK,26,0,0,,,,,,,,,,,,,,,,,
33,Mauro Meireles Couto,pt POR,FW,18,0,0,,,,,,,,,,,,,,,,,
34,Manuel Mendonça,pt POR,MF,19,0,0,,,,,,,,,,,,,,,,,
35,Rafael Nel,pt POR,FW,19,0,0,,,,,,,,,,,,,,,,,
36,Diogo Pinto,pt POR,GK,20,0,0,,,,,,,,,,,,,,,,,
37,Denilson Santos,pt POR,DF,17,0,0,,,,,,,,,,,,,,,,,
38,Francisco Silva,pt POR,GK,18,0,0,,,,,,,,,,,,,,,,,
39,José Silva,pt POR,DF,18,0,0,,,,,,,,,,,,,,,,,
40,Lucas Taibo,es ESP,DF,18,0,0,,,,,,,,,,,,,,,,,
