,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
0,William Bøving,dk DEN,"MF,FW",21.0,8,8,665.0,7.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,1.3,1.9,16.0,11.0,42.0
1,Dimitri Lavalée,be BEL,DF,27.0,7,7,626.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.5,0.5,3.0,21.0,6.0
2,Malick Yalcouye,ci CIV,"MF,FW",18.0,8,7,618.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.3,0.5,14.0,13.0,15.0
3,Otar Kiteishvili,ge GEO,"MF,FW",28.0,7,7,615.0,6.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.4,0.9,8.0,36.0,20.0
4,Tochi Chukwuani,dk DEN,MF,21.0,7,7,604.0,6.7,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.9,1.3,4.0,20.0,5.0
5,Emanuel Aiwum,at AUT,DF,23.0,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0
6,Kjell Scherpen,nl NED,GK,24.0,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Mika Biereth,dk DEN,FW,21.0,6,6,470.0,5.2,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.1,2.1,0.1,2.2,5.0,7.0,20.0
8,Jusuf Gazibegović,ba BIH,DF,24.0,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.6,0.8,4.0,12.0,14.0
9,Niklas Geyrhofer,at AUT,DF,24.0,6,5,449.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,4.0,0.0
10,Seedy Jatta,no NOR,FW,21.0,8,5,381.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.2,0.5,3.0,6.0,18.0
11,Jon Gorenc Stanković,si SVN,MF,28.0,5,4,364.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0
12,Gregory Wüthrich,ch SUI,DF,29.0,4,4,279.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
13,Max Johnston,sct SCO,DF,20.0,5,3,348.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,7.0
14,Tomi Horvat,si SVN,"MF,FW",25.0,7,2,194.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.4,1.0,13.0,7.0
15,Arjan Malic,ba BIH,DF,18.0,3,2,184.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,6.0,1.0
16,Daniil Khudiakov,ru RUS,GK,20.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Amady Camara,ml MLI,"FW,MF",19.0,4,2,132.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.1,0.7,2.0,1.0,5.0
18,Lovro Zvonarek,hr CRO,"MF,FW",19.0,6,0,140.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.5,3.0,5.0,9.0
19,Erencan Yardimci,tr TUR,FW,22.0,5,0,101.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,2.0,2.0,10.0
20,Stefan Hierländer,at AUT,MF,33.0,6,0,35.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,Leon Grgic,at AUT,FW,18.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Konstantin Schopp,at AUT,DF,18.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Matteo Bignetti,at AUT,GK,20.0,0,0,,,,,,,,,,,,,,,,,
24,Jacob Hodl,at AUT,MF,17.0,0,0,,,,,,,,,,,,,,,,,
25,Emir Karic,at AUT,"DF,MF",27.0,0,0,,,,,,,,,,,,,,,,,
26,Peter Kiedl,at AUT,FW,20.0,0,0,,,,,,,,,,,,,,,,,
27,Oliver Sorg,at AUT,DF,17.0,0,0,,,,,,,,,,,,,,,,,
28,Christoph Wiener-Pucher,at AUT,GK,17.0,0,0,,,,,,,,,,,,,,,,,
