,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
0,Maximilian Mittelstädt,de GER,DF,27.0,8,8,704.0,7.8,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,1.1,1.7,14.0,38.0,47.0
1,Angelo Stiller,de GER,MF,23.0,8,8,693.0,7.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,1.0,2.0,16.0,90.0,20.0
2,Enzo Millot,fr FRA,"MF,FW",22.0,8,8,688.0,7.6,2.0,3.0,5.0,2.0,0.0,1.0,0.0,0.0,2.7,1.9,2.8,4.7,11.0,42.0,56.0
3,Julian Chabot,de GER,DF,26.0,8,7,647.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,1.0,28.0,2.0
4,Alexander Nübel,de GER,GK,27.0,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Anthony Rouault,fr FRA,DF,23.0,7,7,620.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.7,1.0,1.0,42.0,2.0
6,Atakan Karazor,,MF,27.0,7,7,553.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.4,0.5,2.0,37.0,6.0
7,Josha Vagnoman,de GER,"DF,FW",23.0,7,7,540.0,6.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.4,1.2,5.0,16.0,27.0
8,Chris Führich,de GER,"FW,MF",26.0,7,6,503.0,5.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,1.1,1.8,33.0,36.0,69.0
9,Deniz Undav,de GER,"FW,MF",28.0,6,6,420.0,4.7,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.8,1.8,1.5,3.3,9.0,13.0,38.0
10,Jamie Leweling,de GER,"FW,MF",23.0,5,5,409.0,4.5,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.8,1.8,1.1,2.9,25.0,17.0,48.0
11,Ermedin Demirović,ba BIH,FW,26.0,8,4,406.0,4.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.3,2.3,0.4,2.7,9.0,4.0,29.0
12,Pascal Stenzel,de GER,DF,28.0,5,2,132.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,2.0,5.0,5.0
13,Fabian Rieder,ch SUI,"FW,MF",22.0,8,1,245.0,2.7,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0.5,1.5,6.0,9.0,19.0
14,Anrie Chase,jp JPN,DF,20.0,5,1,158.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,3.0,1.0
15,Yannik Keitel,de GER,MF,24.0,4,1,145.0,1.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,1.0,11.0,2.0
16,El Bilal Touré,ml MLI,"FW,MF",22.0,4,1,139.0,1.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.8,3.0,1.0,9.0
17,Ameen Al-Dakhil,be BEL,"DF,MF",22.0,3,1,95.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
18,Fabian Bredlow,de GER,GK,29.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Leonidas Stergiou,ch SUI,DF,22.0,4,0,55.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,2.0,2.0
20,Jarzinho Malanga,de GER,"FW,MF",18.0,3,0,39.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
21,Benjamin Boakye,de GER,FW,19.0,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0
22,Dan-Axel Zagadou,fr FRA,DF,25.0,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Eliot Bujupi,xk KVX,FW,18.0,0,0,,,,,,,,,,,,,,,,,
24,Thomas Kastanaras,gr GRE,FW,21.0,0,0,,,,,,,,,,,,,,,,,
25,Frans Krätzig,de GER,MF,21.0,0,0,,,,,,,,,,,,,,,,,
26,Christopher Olivier,at AUT,MF,18.0,0,0,,,,,,,,,,,,,,,,,
27,Luca Raimund,de GER,MF,19.0,0,0,,,,,,,,,,,,,,,,,
28,Dennis Seimen,de GER,GK,18.0,0,0,,,,,,,,,,,,,,,,,
