,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
0,Joel Monteiro,ch SUI,"FW,MF",24.0,8,7,624.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,0.1,0.8,17.0,19.0,42.0
1,Filip Ugrinic,ch SUI,MF,25.0,7,7,597.0,6.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,1.1,1.3,7.0,20.0,10.0
2,Sandro Lauper,ch SUI,"MF,DF",27.0,7,6,518.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.0,0.4,5.0,19.0,1.0
3,Mohamed Aly Camara,gn GUI,DF,26.0,6,6,495.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.4,2.0,11.0,1.0
4,Silvère Ganvoula M'Boussy,cg CGO,FW,28.0,8,6,486.0,5.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.6,1.6,0.0,1.7,8.0,4.0,19.0
5,Jaouen Hadjam,dz ALG,DF,21.0,6,6,478.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.2,0.5,18.0,13.0,13.0
6,Zachary Athekame,ch SUI,DF,19.0,8,5,494.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,2.0,16.0,20.0
7,Łukasz Łakomy,pl POL,MF,23.0,7,5,444.0,4.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.2,0.5,5.0,20.0,9.0
8,Lewin Blum,ch SUI,DF,23.0,7,5,440.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.6,5.0,14.0,18.0
9,Kastriot Imeri,ch SUI,MF,24.0,5,5,305.0,3.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.4,0.6,4.0,14.0,8.0
10,David von Ballmoos,ch SUI,GK,29.0,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Marvin Keller,ch SUI,GK,22.0,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
12,Cheikh Tidiane Niasse,sn SEN,"MF,DF",24.0,5,4,341.0,3.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.1,6.0,15.0,2.0
13,Loris Benito,ch SUI,DF,32.0,5,4,326.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,0.0
14,Ebrima Colley,gm GAM,"FW,MF",24.0,7,4,306.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.2,0.5,7.0,8.0,17.0
15,Darian Males,ch SUI,"FW,MF",23.0,7,3,283.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.1,0.8,3.0,9.0,11.0
16,Tanguy Zoukrou,fr FRA,DF,21.0,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0
17,Alan Virginius,fr FRA,"FW,MF",21.0,7,2,298.0,3.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,7.0,1.0,21.0
18,Cedric Itten,ch SUI,FW,27.0,7,2,234.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,2.0,1.0,13.0
19,Meschak Elia,cd COD,"MF,FW",26.0,5,0,142.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.1,0.4,4.0,2.0,13.0
20,Miguel Chaiwa,zm ZAM,"FW,MF",20.0,2,0,41.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
21,Rhodri Smith,ch SUI,DF,17.0,1,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22,Abdu Conté,pt POR,DF,26.0,1,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
23,Patric Pfeiffer,de GER,DF,24.0,1,0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
24,Jashar Dema,xk KVX,MF,18.0,0,0,,,,,,,,,,,,,,,,,
25,Lorin Jetzer,ch SUI,DF,18.0,0,0,,,,,,,,,,,,,,,,,
26,Dario Marzino,ch SUI,GK,27.0,0,0,,,,,,,,,,,,,,,,,
27,Mats Seiler,ch SUI,DF,18.0,0,0,,,,,,,,,,,,,,,,,
