Unnamed: 0,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90
0,1,Liverpool,8,7,0,1,17,5,12,21,18.9,7.1,11.8,1.48
1,2,Barcelona,8,6,1,1,28,13,15,19,20.4,10.7,9.8,1.22
2,3,Arsenal,8,6,1,1,16,3,13,19,15.8,5.8,10.0,1.25
3,4,Inter Milan,8,6,1,1,11,1,10,19,14.3,7.3,7.0,0.88
4,5,Atletico Madrid,8,6,0,2,20,12,8,18,13.0,11.2,1.8,0.22
5,6,Bayer Leverkusen,8,5,1,2,15,7,8,16,13.3,8.0,5.3,0.66
6,7,Lille,8,5,1,2,17,10,7,16,9.5,13.5,-4.0,-0.5
7,8,Aston Villa,8,5,1,2,13,6,7,16,12.3,9.3,3.0,0.38
8,9,Atalanta,8,4,3,1,20,6,14,15,20.4,8.4,12.0,1.5
9,10,Dortmund,8,5,0,3,22,12,10,15,15.8,11.9,3.9,0.49
10,11,Real Madrid,8,5,0,3,20,12,8,15,19.4,14.9,4.4,0.55
11,12,Bayern Munich,8,5,0,3,20,12,8,15,21.8,8.0,13.9,1.73
12,13,Milan,8,5,0,3,14,11,3,15,11.5,12.4,-0.8,-0.11
13,14,PSV Eindhoven,8,4,2,2,16,12,4,14,12.2,14.3,-2.1,-0.27
14,15,Paris Saint-Germain,8,4,1,3,14,9,5,13,16.2,6.9,9.3,1.16
15,16,Benfica,8,4,1,3,16,12,4,13,17.1,10.1,7.0,0.88
16,17,Monaco,8,4,1,3,13,13,0,13,11.4,12.9,-1.5,-0.19
17,18,Brest,8,4,1,3,10,11,-1,13,9.6,12.5,-3.0,-0.37
18,19,Feyenoord,8,4,1,3,18,21,-3,13,10.0,13.8,-3.8,-0.48
19,20,Juventus,8,3,3,2,9,7,2,12,8.6,13.0,-4.4,-0.54
21,21,Celtic,8,3,3,2,13,14,-1,12,12.0,13.3,-1.3,-0.16
22,22,Manchester City,8,3,2,3,18,14,4,11,18.2,11.1,7.1,0.89
23,23,Sporting CP,8,3,2,3,13,12,1,11,11.6,14.2,-2.6,-0.33
24,24,Club Brugge,8,3,2,3,7,11,-4,11,7.8,8.5,-0.7,-0.09
25,25,Dinamo Zagreb,8,3,2,3,12,19,-7,11,7.0,16.4,-9.3,-1.17
26,26,Stuttgart,8,3,1,4,13,17,-4,10,14.1,11.1,3.0,0.38
27,27,Shakhtar Donetsk,8,2,1,5,8,16,-8,7,8.3,15.5,-7.2,-0.9
28,28,Bologna,8,1,3,4,4,9,-5,6,8.1,9.9,-1.8,-0.22
29,29,Red Star,8,2,0,6,13,22,-9,6,9.3,14.9,-5.5,-0.69
30,30,Sturm Graz,8,2,0,6,5,14,-9,6,6.2,16.2,-10.0,-1.25
31,31,Sparta Prague,8,1,1,6,7,21,-14,4,6.3,13.3,-7.0,-0.88
32,32,RB Leipzig,8,1,0,7,8,15,-7,3,12.3,12.7,-0.4,-0.05
33,33,Girona,8,1,0,7,5,13,-8,3,9.6,12.6,-3.0,-0.38
34,34,RB Salzburg,8,1,0,7,5,27,-22,3,6.6,19.4,-12.7,-1.59
35,35,Slovan Bratislava,8,0,0,8,7,27,-20,0,7.0,21.6,-14.7,-1.83
36,36,Young Boys,8,0,0,8,3,24,-21,0,5.6,19.1,-13.4,-1.68
