"date","time","round","venue","season","team","opponent","gf","ga","xg","xga","result"
2016-09-13,"19:45","Group stage","Estádio do Sport Lisboa e Benfica","2016/2017","Benfica pt","tr Beşiktaş",1,1,NA,NA,"D"
2016-09-13,"20:45","Group stage","Allianz Arena","2016/2017","Bayern Munich de","ru Rostov",5,0,NA,NA,"H"
2016-09-13,"20:45","Group stage","Parc des Princes","2016/2017","Paris S-G fr","eng Arsenal",1,1,NA,NA,"D"
2016-09-13,"20:45","Group stage","Camp Nou","2016/2017","Barcelona es","sct Celtic",7,0,NA,NA,"H"
2016-09-13,"20:45","Group stage","Philips Stadion","2016/2017","PSV Eindhoven nl","es Atlético Madrid",0,1,NA,NA,"A"
2016-09-13,"20:45","Group stage","St. Jakob-Park","2016/2017","Basel ch","bg Ludogorets",1,1,NA,NA,"D"
2016-09-13,"21:45","Group stage","NSK Olimpijs'kyj","2016/2017","Dynamo Kyiv ua","it Napoli",1,2,NA,NA,"A"
2016-09-14,"19:45","Group stage","Estádio Do Dragão","2016/2017","Porto pt","dk FC Copenhagen",1,1,NA,NA,"D"
2016-09-14,"19:45","Group stage","Wembley Stadium","2016/2017","Tottenham eng","fr Monaco",1,2,NA,NA,"A"
2016-09-14,"19:45","Group stage","Etihad Stadium","2016/2017","Manchester City eng","de Gladbach",4,0,NA,NA,"H"
2016-09-14,"20:45","Group stage","Jan Breydelstadion","2016/2017","Club Brugge be","eng Leicester City",0,3,NA,NA,"A"
2016-09-14,"20:45","Group stage","Estadio Santiago Bernabéu","2016/2017","Real Madrid es","pt Sporting CP",2,1,NA,NA,"H"
2016-09-14,"20:45","Group stage","Stadion Miejski Legii Warszawa im. Marsz...","2016/2017","Legia Warsaw pl","de Dortmund",0,6,NA,NA,"A"
2016-09-14,"20:45","Group stage","BayArena","2016/2017","Leverkusen de","ru CSKA Moscow",2,2,NA,NA,"D"
2016-09-14,"20:45","Group stage","Groupama Stadium","2016/2017","Lyon fr","hr Dinamo Zagreb",3,0,NA,NA,"H"
2016-09-14,"20:45","Group stage","Allianz Stadium","2016/2017","Juventus it","es Sevilla",0,0,NA,NA,"D"
2016-09-27,"19:45","Group stage","Estádio José Alvalade","2016/2017","Sporting CP pt","pl Legia Warsaw",2,0,NA,NA,"H"
2016-09-27,"19:45","Group stage","King Power Stadium","2016/2017","Leicester City eng","pt Porto",1,0,NA,NA,"H"
2016-09-27,"20:45","Group stage","Estadio Ramón Sánchez Pizjuán","2016/2017","Sevilla es","fr Lyon",1,0,NA,NA,"H"
2016-09-27,"20:45","Group stage","Stade Louis II","2016/2017","Monaco fr","de Leverkusen",1,1,NA,NA,"D"
2016-09-27,"20:45","Group stage","Telia Parken","2016/2017","FC Copenhagen dk","be Club Brugge",4,0,NA,NA,"H"
2016-09-27,"20:45","Group stage","Signal Iduna Park","2016/2017","Dortmund de","es Real Madrid",2,2,NA,NA,"D"
2016-09-27,"20:45","Group stage","Stadion Maksimir","2016/2017","Dinamo Zagreb hr","it Juventus",0,4,NA,NA,"A"
2016-09-27,"21:45","Group stage","VEB Arena","2016/2017","CSKA Moscow ru","eng Tottenham",0,1,NA,NA,"A"
2016-09-28,"19:45","Group stage","Celtic Park","2016/2017","Celtic sct","eng Manchester City",3,3,NA,NA,"D"
2016-09-28,"19:45","Group stage","Emirates Stadium","2016/2017","Arsenal eng","ch Basel",2,0,NA,NA,"H"
2016-09-28,"20:45","Group stage","Stadion im Borussia-Park","2016/2017","Gladbach de","es Barcelona",1,2,NA,NA,"A"
2016-09-28,"20:45","Group stage","Stadio San Paolo","2016/2017","Napoli it","pt Benfica",4,2,NA,NA,"H"
2016-09-28,"20:45","Group stage","Estadio Vicente Calderón","2016/2017","Atlético Madrid es","de Bayern Munich",1,0,NA,NA,"H"
2016-09-28,"21:45","Group stage","Vodafone Arena","2016/2017","Beşiktaş tr","ua Dynamo Kyiv",1,1,NA,NA,"D"
2016-09-28,"21:45","Group stage","Stadion Olimp 2","2016/2017","Rostov ru","nl PSV Eindhoven",2,2,NA,NA,"D"
2016-09-28,"21:45","Group stage","Stadion Vasil Levski","2016/2017","Ludogorets bg","fr Paris S-G",1,3,NA,NA,"A"
2016-10-18,"19:45","Group stage","Estádio José Alvalade","2016/2017","Sporting CP pt","de Dortmund",1,2,NA,NA,"A"
2016-10-18,"19:45","Group stage","King Power Stadium","2016/2017","Leicester City eng","dk FC Copenhagen",1,0,NA,NA,"H"
2016-10-18,"20:45","Group stage","Groupama Stadium","2016/2017","Lyon fr","it Juventus",0,1,NA,NA,"A"
2016-10-18,"20:45","Group stage","BayArena","2016/2017","Leverkusen de","eng Tottenham",0,0,NA,NA,"D"
2016-10-18,"20:45","Group stage","Jan Breydelstadion","2016/2017","Club Brugge be","pt Porto",1,2,NA,NA,"A"
2016-10-18,"20:45","Group stage","Estadio Santiago Bernabéu","2016/2017","Real Madrid es","pl Legia Warsaw",5,1,NA,NA,"H"
2016-10-18,"20:45","Group stage","Stadion Maksimir","2016/2017","Dinamo Zagreb hr","es Sevilla",0,1,NA,NA,"A"
2016-10-18,"21:45","Group stage","VEB Arena","2016/2017","CSKA Moscow ru","fr Monaco",1,1,NA,NA,"D"
2016-10-19,"19:45","Group stage","Celtic Park","2016/2017","Celtic sct","de Gladbach",0,2,NA,NA,"A"
2016-10-19,"19:45","Group stage","Emirates Stadium","2016/2017","Arsenal eng","bg Ludogorets",6,0,NA,NA,"H"
2016-10-19,"20:45","Group stage","Parc des Princes","2016/2017","Paris S-G fr","ch Basel",3,0,NA,NA,"H"
