Unnamed: 0.1,Unnamed: 0,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Team,2024-07-10,19:00 (22:30),First qualifying round,Wed,Home,W,4,2
0,0,David Raya,es ESP,GK,28.0,13.0,13.0,1170.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Arsenal,,,,,,,,
1,1,Declan Rice,eng ENG,MF,25.0,13.0,12.0,1002.0,11.1,4.0,2.0,6.0,4.0,0.0,0.0,3.0,0.0,1.8,1.8,1.2,3.0,23.0,62.0,27.0,Arsenal,,,,,,,,
2,2,William Saliba,fr FRA,DF,23.0,11.0,11.0,990.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,4.0,32.0,1.0,Arsenal,,,,,,,,
3,3,Gabriel Martinelli,br BRA,"FW,MF",23.0,13.0,11.0,934.0,10.4,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,4.2,4.2,2.1,6.2,44.0,15.0,84.0,Arsenal,,,,,,,,
4,4,Thomas Partey,gh GHA,"MF,DF",31.0,12.0,11.0,897.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.6,1.2,13.0,37.0,15.0,Arsenal,,,,,,,,
5,5,Jurriën Timber,nl NED,DF,23.0,13.0,10.0,848.0,9.4,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.6,0.6,1.4,2.0,13.0,47.0,18.0,Arsenal,,,,,,,,
6,6,Mikel Merino,es ESP,"MF,FW",28.0,12.0,9.0,817.0,9.1,2.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,1.1,1.0,1.3,2.3,5.0,33.0,29.0,Arsenal,,,,,,,,
7,7,Gabriel Magalhães,br BRA,DF,26.0,9.0,9.0,803.0,8.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.3,1.3,0.0,1.3,3.0,36.0,0.0,Arsenal,,,,,,,,
8,8,Martin Ødegaard,no NOR,MF,25.0,11.0,9.0,797.0,8.9,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.9,1.9,1.5,3.4,31.0,58.0,39.0,Arsenal,,,,,,,,
9,9,Bukayo Saka,eng ENG,"FW,MF",22.0,9.0,9.0,760.0,8.4,6.0,2.0,8.0,5.0,1.0,2.0,2.0,0.0,4.4,2.9,3.3,6.1,43.0,18.0,86.0,Arsenal,,,,,,,,
10,10,Jakub Kiwior,pl POL,DF,24.0,10.0,8.0,772.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.8,0.9,2.0,22.0,1.0,Arsenal,,,,,,,,
11,11,Myles Lewis-Skelly,eng ENG,DF,17.0,10.0,7.0,565.0,6.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.6,0.7,7.0,24.0,7.0,Arsenal,,,,,,,,
12,12,Leandro Trossard,be BEL,FW,29.0,14.0,6.0,668.0,7.4,2.0,2.0,4.0,2.0,0.0,1.0,1.0,0.0,2.7,1.9,0.7,2.6,18.0,32.0,45.0,Arsenal,,,,,,,,
13,13,Kai Havertz,de GER,"FW,MF",25.0,8.0,6.0,561.0,6.2,4.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,2.6,2.6,1.1,3.7,4.0,19.0,44.0,Arsenal,,,,,,,,
14,14,Riccardo Calafiori,it ITA,DF,22.0,8.0,4.0,431.0,4.8,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.7,0.7,1.0,1.7,8.0,13.0,10.0,Arsenal,,,,,,,,
15,15,Ben White,eng ENG,DF,26.0,9.0,4.0,335.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,5.0,29.0,12.0,Arsenal,,,,,,,,
16,16,Jorginho,it ITA,MF,32.0,6.0,3.0,324.0,3.6,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.8,0.0,0.2,0.2,1.0,17.0,5.0,Arsenal,,,,,,,,
17,17,Raheem Sterling,eng ENG,FW,29.0,6.0,3.0,298.0,3.3,0.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,1.5,0.7,0.8,1.6,12.0,5.0,28.0,Arsenal,,,,,,,,
18,18,Gabriel Jesus,br BRA,"FW,MF",27.0,5.0,3.0,258.0,2.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.4,1.4,0.4,1.8,6.0,5.0,36.0,Arsenal,,,,,,,,
19,19,Ethan Nwaneri,eng ENG,"FW,MF",17.0,7.0,2.0,224.0,2.5,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.8,0.8,0.4,1.2,10.0,6.0,16.0,Arsenal,,,,,,,,
20,20,Oleksandr Zinchenko,ua UKR,"DF,MF",27.0,6.0,2.0,194.0,2.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.6,0.9,1.0,17.0,13.0,Arsenal,,,,,,,,
21,21,Kieran Tierney,sct SCO,"FW,DF",27.0,5.0,1.0,121.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,2.0,7.0,7.0,Arsenal,,,,,,,,
22,22,Neto,br BRA,GK,35.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,,,,,,,,
23,23,Nathan Butler-Oyedeji,eng ENG,FW,21.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,,,,,,,,
24,24,Jimi Gower,eng ENG,MF,19.0,0.0,0.0,,,,,,,,,,,,,,,,,,Arsenal,,,,,,,,
25,25,Ayden Heaven,eng ENG,DF,17.0,0.0,0.0,,,,,,,,,,,,,,,,,,Arsenal,,,,,,,,
26,26,Jack Henry-Francis,ie IRL,MF,20.0,0.0,0.0,,,,,,,,,,,,,,,,,,Arsenal,,,,,,,,
27,27,Ismeal Kabia,eng ENG,MF,18.0,0.0,0.0,,,,,,,,,,,,,,,,,,Arsenal,,,,,,,,
28,28,Maldini Kacurri,al ALB,DF,18.0,0.0,0.0,,,,,,,,,,,,,,,,,,Arsenal,,,,,,,,
29,29,Zane Monlouis,eng ENG,DF,20.0,0.0,0.0,,,,,,,,,,,,,,,,,,Arsenal,,,,,,,,
30,30,Salah Oulad M'Hand,nl NED,MF,20.0,0.0,0.0,,,,,,,,,,,,,,,,,,Arsenal,,,,,,,,
31,31,Jack Porter,eng ENG,GK,16.0,0.0,0.0,,,,,,,,,,,,,,,,,,Arsenal,,,,,,,,
32,32,Josh Robinson,eng ENG,DF,19.0,0.0,0.0,,,,,,,,,,,,,,,,,,Arsenal,,,,,,,,
33,33,Michal Rosiak,pl POL,MF,18.0,0.0,0.0,,,,,,,,,,,,,,,,,,Arsenal,,,,,,,,
34,34,Tommy Setford,eng ENG,GK,18.0,0.0,0.0,,,,,,,,,,,,,,,,,,Arsenal,,,,,,,,
35,0,Emiliano Martínez,ar ARG,GK,31.0,12.0,12.0,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Aston Villa,,,,,,,,
36,1,Youri Tielemans,be BEL,MF,27.0,12.0,12.0,1041.0,11.6,2.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,0.8,0.8,1.9,2.7,8.0,69.0,19.0,Aston Villa,,,,,,,,
37,2,Morgan Rogers,eng ENG,"MF,FW",22.0,12.0,12.0,1022.0,11.4,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,3.1,3.1,2.5,5.6,33.0,42.0,64.0,Aston Villa,,,,,,,,
38,3,Ezri Konsa,eng ENG,DF,26.0,11.0,11.0,990.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.2,1.0,3.0,19.0,9.0,Aston Villa,,,,,,,,
39,4,Lucas Digne,fr FRA,DF,31.0,9.0,9.0,743.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.7,1.0,12.0,24.0,46.0,Aston Villa,,,,,,,,
40,5,John McGinn,sct SCO,"MF,FW",29.0,10.0,9.0,734.0,8.2,3.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,1.6,1.6,0.5,2.2,8.0,33.0,23.0,Aston Villa,,,,,,,,
41,6,Ollie Watkins,eng ENG,FW,28.0,12.0,9.0,695.0,7.7,1.0,4.0,5.0,1.0,0.0,1.0,0.0,0.0,3.2,2.4,2.6,5.0,11.0,9.0,52.0,Aston Villa,,,,,,,,
42,7,Boubacar Kamara,fr FRA,"MF,DF",24.0,10.0,8.0,702.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.5,0.6,7.0,34.0,1.0,Aston Villa,,,,,,,,
43,8,Pau Torres,es ESP,DF,27.0,9.0,7.0,680.0,7.6,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.0,0.6,7.0,23.0,1.0,Aston Villa,,,,,,,,
44,9,Matty Cash,pl POL,"DF,FW",26.0,8.0,7.0,513.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,0.2,1.1,9.0,14.0,19.0,Aston Villa,,,,,,,,
45,10,Leon Bailey,jm JAM,FW,26.0,8.0,6.0,526.0,5.8,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,2.0,2.7,22.0,13.0,39.0,Aston Villa,,,,,,,,
46,11,Diego Carlos,br BRA,DF,31.0,6.0,5.0,484.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.1,0.3,1.0,21.0,0.0,Aston Villa,,,,,,,,
