"date","season","home_team","away_team","home_goals","away_goals","result"
2016-09-13,"2016/2017","Benfica pt","tr Beşiktaş",1,1,"D"
2016-09-13,"2016/2017","Bayern Munich de","ru Rostov",5,0,"H"
2016-09-13,"2016/2017","Paris S-G fr","eng Arsenal",1,1,"D"
2016-09-13,"2016/2017","Barcelona es","sct Celtic",7,0,"H"
2016-09-13,"2016/2017","PSV Eindhoven nl","es Atlético Madrid",0,1,"A"
2016-09-13,"2016/2017","Basel ch","bg Ludogorets",1,1,"D"
2016-09-13,"2016/2017","Dynamo Kyiv ua","it Napoli",1,2,"A"
2016-09-14,"2016/2017","Porto pt","dk FC Copenhagen",1,1,"D"
2016-09-14,"2016/2017","Tottenham eng","fr Monaco",1,2,"A"
2016-09-14,"2016/2017","Manchester City eng","de Gladbach",4,0,"H"
2016-09-14,"2016/2017","Club Brugge be","eng Leicester City",0,3,"A"
2016-09-14,"2016/2017","Real Madrid es","pt Sporting CP",2,1,"H"
2016-09-14,"2016/2017","Legia Warsaw pl","de Dortmund",0,6,"A"
2016-09-14,"2016/2017","Leverkusen de","ru CSKA Moscow",2,2,"D"
2016-09-14,"2016/2017","Lyon fr","hr Dinamo Zagreb",3,0,"H"
2016-09-14,"2016/2017","Juventus it","es Sevilla",0,0,"D"
2016-09-27,"2016/2017","Sporting CP pt","pl Legia Warsaw",2,0,"H"
2016-09-27,"2016/2017","Leicester City eng","pt Porto",1,0,"H"
2016-09-27,"2016/2017","Sevilla es","fr Lyon",1,0,"H"
2016-09-27,"2016/2017","Monaco fr","de Leverkusen",1,1,"D"
2016-09-27,"2016/2017","FC Copenhagen dk","be Club Brugge",4,0,"H"
2016-09-27,"2016/2017","Dortmund de","es Real Madrid",2,2,"D"
2016-09-27,"2016/2017","Dinamo Zagreb hr","it Juventus",0,4,"A"
2016-09-27,"2016/2017","CSKA Moscow ru","eng Tottenham",0,1,"A"
2016-09-28,"2016/2017","Celtic sct","eng Manchester City",3,3,"D"
2016-09-28,"2016/2017","Arsenal eng","ch Basel",2,0,"H"
2016-09-28,"2016/2017","Gladbach de","es Barcelona",1,2,"A"
2016-09-28,"2016/2017","Napoli it","pt Benfica",4,2,"H"
2016-09-28,"2016/2017","Atlético Madrid es","de Bayern Munich",1,0,"H"
2016-09-28,"2016/2017","Beşiktaş tr","ua Dynamo Kyiv",1,1,"D"
2016-09-28,"2016/2017","Rostov ru","nl PSV Eindhoven",2,2,"D"
2016-09-28,"2016/2017","Ludogorets bg","fr Paris S-G",1,3,"A"
2016-10-18,"2016/2017","Sporting CP pt","de Dortmund",1,2,"A"
2016-10-18,"2016/2017","Leicester City eng","dk FC Copenhagen",1,0,"H"
2016-10-18,"2016/2017","Lyon fr","it Juventus",0,1,"A"
2016-10-18,"2016/2017","Leverkusen de","eng Tottenham",0,0,"D"
2016-10-18,"2016/2017","Club Brugge be","pt Porto",1,2,"A"
2016-10-18,"2016/2017","Real Madrid es","pl Legia Warsaw",5,1,"H"
2016-10-18,"2016/2017","Dinamo Zagreb hr","es Sevilla",0,1,"A"
2016-10-18,"2016/2017","CSKA Moscow ru","fr Monaco",1,1,"D"
2016-10-19,"2016/2017","Celtic sct","de Gladbach",0,2,"A"
2016-10-19,"2016/2017","Arsenal eng","bg Ludogorets",6,0,"H"
2016-10-19,"2016/2017","Paris S-G fr","ch Basel",3,0,"H"
2016-10-19,"2016/2017","Barcelona es","eng Manchester City",4,0,"H"
2016-10-19,"2016/2017","Bayern Munich de","nl PSV Eindhoven",4,1,"H"
2016-10-19,"2016/2017","Napoli it","tr Beşiktaş",2,3,"A"
2016-10-19,"2016/2017","Dynamo Kyiv ua","pt Benfica",0,2,"A"
2016-10-19,"2016/2017","Rostov ru","es Atlético Madrid",0,1,"A"
2016-11-01,"2016/2017","Manchester City eng","es Barcelona",3,1,"H"
2016-11-01,"2016/2017","Benfica pt","ua Dynamo Kyiv",1,0,"H"
2016-11-01,"2016/2017","PSV Eindhoven nl","de Bayern Munich",1,2,"A"
2016-11-01,"2016/2017","Basel ch","fr Paris S-G",1,2,"A"
2016-11-01,"2016/2017","Atlético Madrid es","ru Rostov",2,1,"H"
2016-11-01,"2016/2017","Beşiktaş tr","it Napoli",1,1,"D"
2016-11-01,"2016/2017","Gladbach de","sct Celtic",1,1,"D"
2016-11-01,"2016/2017","Ludogorets bg","eng Arsenal",2,3,"A"
2016-11-02,"2016/2017","Porto pt","be Club Brugge",1,0,"H"
2016-11-02,"2016/2017","Tottenham eng","de Leverkusen",0,1,"A"
2016-11-02,"2016/2017","Legia Warsaw pl","es Real Madrid",3,3,"D"
2016-11-02,"2016/2017","FC Copenhagen dk","eng Leicester City",0,0,"D"
2016-11-02,"2016/2017","Juventus it","fr Lyon",1,1,"D"
2016-11-02,"2016/2017","Monaco fr","ru CSKA Moscow",3,0,"H"
2016-11-02,"2016/2017","Sevilla es","hr Dinamo Zagreb",4,0,"H"
2016-11-02,"2016/2017","Dortmund de","pt Sporting CP",1,0,"H"
2016-11-22,"2016/2017","Sporting CP pt","es Real Madrid",1,2,"A"
2016-11-22,"2016/2017","Leicester City eng","be Club Brugge",2,1,"H"
2016-11-22,"2016/2017","CSKA Moscow ru","de Leverkusen",1,1,"D"
2016-11-22,"2016/2017","Dortmund de","pl Legia Warsaw",8,4,"H"
2016-11-22,"2016/2017","Monaco fr","eng Tottenham",2,1,"H"
2016-11-22,"2016/2017","FC Copenhagen dk","pt Porto",0,0,"D"
2016-11-22,"2016/2017","Sevilla es","it Juventus",1,3,"A"
2016-11-22,"2016/2017","Dinamo Zagreb hr","fr Lyon",0,1,"A"
2016-11-23,"2016/2017","Arsenal eng","fr Paris S-G",2,2,"D"
2016-11-23,"2016/2017","Celtic sct","es Barcelona",0,2,"A"
2016-11-23,"2016/2017","Rostov ru","de Bayern Munich",3,2,"H"
2016-11-23,"2016/2017","Gladbach de","eng Manchester City",1,1,"D"
2016-11-23,"2016/2017","Atlético Madrid es","nl PSV Eindhoven",2,0,"H"
2016-11-23,"2016/2017","Napoli it","ua Dynamo Kyiv",0,0,"D"
2016-11-23,"2016/2017","Beşiktaş tr","pt Benfica",3,3,"D"
2016-11-23,"2016/2017","Ludogorets bg","ch Basel",0,0,"D"
2016-12-06,"2016/2017","Manchester City eng","sct Celtic",1,1,"D"
2016-12-06,"2016/2017","Benfica pt","it Napoli",1,2,"A"
2016-12-06,"2016/2017","Basel ch","eng Arsenal",1,4,"A"
2016-12-06,"2016/2017","Paris S-G fr","bg Ludogorets",2,2,"D"
2016-12-06,"2016/2017","Barcelona es","de Gladbach",4,0,"H"
2016-12-06,"2016/2017","PSV Eindhoven nl","ru Rostov",0,0,"D"
2016-12-06,"2016/2017","Bayern Munich de","es Atlético Madrid",1,0,"H"
2016-12-06,"2016/2017","Dynamo Kyiv ua","tr Beşiktaş",6,0,"H"
2016-12-07,"2016/2017","Tottenham eng","ru CSKA Moscow",3,1,"H"
2016-12-07,"2016/2017","Porto pt","eng Leicester City",5,0,"H"
2016-12-07,"2016/2017","Legia Warsaw pl","pt Sporting CP",1,0,"H"
2016-12-07,"2016/2017","Lyon fr","es Sevilla",0,0,"D"
2016-12-07,"2016/2017","Real Madrid es","de Dortmund",2,2,"D"
2016-12-07,"2016/2017","Club Brugge be","dk FC Copenhagen",0,2,"A"
2016-12-07,"2016/2017","Leverkusen de","fr Monaco",3,0,"H"
2016-12-07,"2016/2017","Juventus it","hr Dinamo Zagreb",2,0,"H"
2017-02-14,"2016/2017","Benfica pt","de Dortmund",1,0,"H"
2017-02-14,"2016/2017","Paris S-G fr","es Barcelona",4,0,"H"
2017-02-15,"2016/2017","Bayern Munich de","eng Arsenal",5,1,"H"
2017-02-15,"2016/2017","Real Madrid es","it Napoli",3,1,"H"
2017-02-21,"2016/2017","Manchester City eng","fr Monaco",5,3,"H"
2017-02-21,"2016/2017","Leverkusen de","es Atlético Madrid",2,4,"A"
2017-02-22,"2016/2017","Porto pt","it Juventus",0,2,"A"
2017-02-22,"2016/2017","Sevilla es","eng Leicester City",2,1,"H"
2017-03-07,"2016/2017","Arsenal eng","de Bayern Munich",1,5,"A"
2017-03-07,"2016/2017","Napoli it","es Real Madrid",1,3,"A"
2017-03-08,"2016/2017","Barcelona es","fr Paris S-G",6,1,"H"
2017-03-08,"2016/2017","Dortmund de","pt Benfica",4,0,"H"
2017-03-14,"2016/2017","Leicester City eng","es Sevilla",2,0,"H"
2017-03-14,"2016/2017","Juventus it","pt Porto",1,0,"H"
2017-03-15,"2016/2017","Atlético Madrid es","de Leverkusen",0,0,"D"
2017-03-15,"2016/2017","Monaco fr","eng Manchester City",3,1,"H"
2017-04-11,"2016/2017","Juventus it","es Barcelona",3,0,"H"
2017-04-12,"2016/2017","Dortmund de","fr Monaco",2,3,"A"
2017-04-12,"2016/2017","Atlético Madrid es","eng Leicester City",1,0,"H"
2017-04-12,"2016/2017","Bayern Munich de","es Real Madrid",1,2,"A"
2017-04-18,"2016/2017","Leicester City eng","es Atlético Madrid",1,1,"D"
2017-04-18,"2016/2017","Real Madrid es","de Bayern Munich",4,2,"H"
2017-04-19,"2016/2017","Barcelona es","it Juventus",0,0,"D"
2017-04-19,"2016/2017","Monaco fr","de Dortmund",3,1,"H"
2017-05-02,"2016/2017","Real Madrid es","es Atlético Madrid",3,0,"H"
2017-05-03,"2016/2017","Monaco fr","it Juventus",0,2,"A"
2017-05-09,"2016/2017","Juventus it","fr Monaco",2,1,"H"
2017-05-10,"2016/2017","Atlético Madrid es","es Real Madrid",2,1,"H"
2017-06-03,"2016/2017","Juventus it","es Real Madrid",1,4,"A"
2017-09-12,"2017/2018","Chelsea eng","az Qarabağ",6,0,"H"
2017-09-12,"2017/2018","Celtic sct","fr Paris S-G",0,5,"A"
2017-09-12,"2017/2018","Manchester Utd eng","ch Basel",3,0,"H"
2017-09-12,"2017/2018","Benfica pt","ru CSKA Moscow",1,2,"A"
2017-09-12,"2017/2018","Roma it","es Atlético Madrid",0,0,"D"
2017-09-12,"2017/2018","Barcelona es","it Juventus",3,0,"H"
2017-09-12,"2017/2018","Bayern Munich de","be Anderlecht",3,0,"H"
2017-09-12,"2017/2018","Olympiacos gr","pt Sporting CP",2,3,"A"
2017-09-13,"2017/2018","Porto pt","tr Beşiktaş",1,3,"A"
2017-09-13,"2017/2018","Liverpool eng","es Sevilla",2,2,"D"
2017-09-13,"2017/2018","Tottenham eng","de Dortmund",3,1,"H"
2017-09-13,"2017/2018","NK Maribor si","ru Spartak Moscow",1,1,"D"
2017-09-13,"2017/2018","Feyenoord nl","eng Manchester City",0,4,"A"
2017-09-13,"2017/2018","RB Leipzig de","fr Monaco",1,1,"D"
2017-09-13,"2017/2018","Real Madrid es","cy APOEL FC",3,0,"H"
2017-09-13,"2017/2018","Shakhtar ua","it Napoli",2,1,"H"
2017-09-26,"2017/2018","Manchester City eng","ua Shakhtar",2,0,"H"
2017-09-26,"2017/2018","Sevilla es","si NK Maribor",3,0,"H"
2017-09-26,"2017/2018","Dortmund de","es Real Madrid",1,3,"A"
2017-09-26,"2017/2018","Monaco fr","pt Porto",0,3,"A"
2017-09-26,"2017/2018","Napoli it","nl Feyenoord",3,1,"H"
2017-09-26,"2017/2018","Spartak Moscow ru","eng Liverpool",1,1,"D"
2017-09-26,"2017/2018","Beşiktaş tr","de RB Leipzig",2,0,"H"
2017-09-26,"2017/2018","APOEL FC cy","eng Tottenham",0,3,"A"
2017-09-27,"2017/2018","Sporting CP pt","es Barcelona",0,1,"A"
